NHpolitics,neutral
COVID-19 Testing Update. For more details visit     …,positive
"U.S. COVID-19 death toll hits 700,000",negative
"Kawawa ka naman, Harry. I guess the administration really bent your principles and turned you into this shameful, hypocritical, ignorant hell of a man. Sayang.",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
The Socialist Equality Group's Tom Peters calls for workers internationally to support the October 1 UK parents strike.…,negative
"People who got Covid-19 vaccine boosters have had mostly mild to moderate reactions, according to the CDC",negative
We are aware that a bogus Covid-19 immunisation consent form has been circulated to parents. This is malicious and has not been s…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"As the United States approaches 700,000 deaths, Merck announces it has a promising antiviral pill that seems to be effective at…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
within 14 days of COVID-19 vaccination,negative
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
Can parasites enter the lungs via the air?,positive
resurgence,positive
✅The company is targeting t…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Everyone with compromised immunity due to cancer, transplants, auto-immune diseases being treated with drugs to prevent their own bodies reactions, those with chronic illness, COPD...dead. Premature babies, pregnant women...dead in huge numbers.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Over 90% of people in the ICU due to COVID-19 are not fully vaccinated.,negative
Respect.,positive
"Frank Edelblut, commissioner of the New Hampshire Department of Education, posed what some vaccine-focused health officials on the COVID-19 front lines might call a radical idea Why not work on getting healthy to fight COVID19?",positive
among Medica…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
"Reciprocal measure against the UK's new advisory not recognising certification for the Indian-manufactured Oxford/AstraZeneca COVID-19 vaccine Covishield, Britain said that it is “continuing to engage” with New Delhi  to expand its recognition of vaccine certification.",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
Covid-19 hasn't calmed down and yet IDPs is facing the shortage of food. We must eradicate SAC asap.,negative
↓,neutral
"from , , etc.",positive
AcceptNUG_RejectMilitary,neutral
Does nicotine kill larval-stage parasites in the lungs?,negative
"US fatalities from Covid-19 surpassed 700,000 on Friday, according to figures from Johns Hopkins University, a toll roughly equivalent to the population of the nation's capital Washington.",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence",negative
Please. Get. Vaccinated.,negative
"Theme, History and Significance Amid COVID-19",positive
"The Vatican never punishes pedophiles, yet wants to school &amp; punish those refusing COVID-19 Certification (Passports) 🙄💩",negative
"The United States delivered nearly 800,000 doses of Pfizer COVID-19 vaccines to Sri Lanka today through  COVAX. This d…",neutral
Can someone please make it make sense.,negative
↓,neutral
👈🏼💦,neutral
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall - The New York Times - California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall  The New ... NewsAndInformation  LIVING STRONG TELEVISION NETWORK,positive
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
"First time cursing today. Kay Ivey, wtf? Have you looked at your Covid numbers lately or do you just not care? 42.6% vax r…",positive
"65.2%, getting close to that 70% mark! If not for the “starting from the following Monday” rule - freedoms could have started this week. nsw COVID19nsw",positive
Since golf has returned on Wednesday case numbers have skyrocketed.,negative
"Please, get vaccinated - and help family and friends…",negative
15/V,negative
"",""
COVID-19 Cases Projected to Decline Steadily Through March - WebMD,negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Tens of thousands of Georgia health care workers must be vaccinated for COVID-19 today or face losing their jobs.,negative
Oct1Coup,neutral
Is Covid-19 more lethal in a funeral??,negative
👈🏼💦,neutral
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence",negative
Nicee. least they tried. FuckFascism NoVaccinePassportsAnywhere,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
Vaccines reduce risk of death and hospitalization by 96%,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
World Leaders thank India for Covid-19 Vaccine shipments at High-level UNGA Session,positive
"\"SARS-CoV-2 infections elicit higher levels of original antigenic sin antibodies compared to SARS-CoV-2 mRNA vaccinations\"",negative
"",""
"Celine returns to Las Vegas with a brand new show at  The production opens November 5, 2021 with a special open…",positive
80 outsourced employees engaged during Covid-19 were terminated from October 1 onwards in Chandigarh,negative
WhatsHappeningInMyanmar,neutral
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
Can parasites enter th…,negative
"Totally forgot the good news no new cavities, and the tech made my teeth look all shiny and new!",positive
Why max 100 people in a Funeral but max 75…,negative
tudia macam kes medical attendee tak percaya vaccine in the US jer 😵 sumpah kena punish people like this lolol,negative
wrote this on may 5 2020 “The coronavirus scenario I can’t stop thinking about is the one where we simply get used to all the…,neutral
Anti-lockdown protesters have rallied on Auckland as New Zealand reports 27 new COVID-19 cases.,negative
How genome sequencing helps in tackling COVID-19 variants -WHO,positive
"U.S. Coronavirus Death Toll Surpasses 700,000 Despite Wide Availability of Vaccines  The map is s…",negative
"700,000 Americans now dead from COVID-19",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
. receives a COVID-19 booster shot following the CDC’s and FDA’s recommendations.,negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
"",""
We know it’s not safe.,positive
*sigh*,negative
"",positive
"How do we protect young, unvaccinated children from the Delta variant? Dr. Vivek Murthy, U.S. Surgeon General, explains that CO…",positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
