This will go into effect following full…,positive
“The government “secretly removed” people with disabilities from the top of the Covid-19 vaccine priority list ahead of i…,negative
"29 September 2021, Dar es Salaam Tanzania Breweries Limited (TBL) today kicked off a company-wide Covid-19 vaccination drive d…",positive
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
He'd probably get a free shirt and some cookies just like everyone else. 🙄,positive
“Breastfeeding women who…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
'Never thought we'd have to do this' Britons pushed to food banks as government winds up COVID-19 pandemic aid,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
MCA Spokesperson  moots 4 suggestions for the govt to consider re the COVID-19 vaccine booster shots,negative
▪️CM  reviewed the progress of the scheme for Cor…,positive
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the spr…",negative
"As of Friday, a variety of businesses in Saskatchewan now require visitors to show proof of vaccination or a negative COVID-…",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
This will go into effect following full…,positive
Visiting info on Sungnyemun Gate,positive
China has more than 80 percent of its…,negative
Fuk you until you mandate the dam teachers to get the mandate as well!,positive
LOVE ON TOUR. SHOP MERCH EARLY.,positive
"",""
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Answers to Common Questions About COVID-19 Vaccines and Blood ...,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
1. The COVID-19 survival rate for t…,negative
LOOKING FOR BLOOD DONATION,positive
"",positive
How mysterious that the exact mutations needed to change the spike protein to evade vaccination arose in the unvaccina…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are helping…,negative
Demon,neutral
COVID-19 status in Malaysia as of 1 October 2021.,positive
"Saturday, 10/2, at Madison Square Garden.",positive
This will go into effect following full…,positive
They’re not your kids. They’re mine.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"As We Get Even Closer To Covid-19 Vaccines For Young Kids, We Cannot Forget The Rest Of The World…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
People jumped from windows to escape a fire at a hospital in Romania — the third deadly blaze at a healthcare facility in less…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
This falls short of Bill Gates' target of 15%.,positive
Super simple poll.,positive
"For more details, visit",positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"BBNaija US surpasses 700,000 COVID-19 deaths",positive
"There's two statistics you need to remember, but the government wants you to forget",positive
· Opening times Closed every Monday.,negative
Masks are required while shopping.,neutral
65% say…,positive
"Zambia's 2021 Q2 GDP show that the economy grew by 8.1% compared to -5.1% in Q2 of 2020 (ZamStats). Arts, entertainment &amp; recr…",positive
NSW recorded 813 new locally acquired cases of COVID-19 in the 24 hours to 8pm last night.,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"29 September 2021, Dar es Salaam Tanzania Breweries Limited (TBL) today kicked off a company-wide Covid-19 vaccination drive d…",positive
"India records 24,354 new Covid-19 cases; active cases lowest in 197 days",negative
Idea stop calling them vaccines. Effective immediately it is the COVID-19 Exemption Program.,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
California Governor Gavin Newsom announced that his state will require students to be vaccinated against COVID-19 as early as…,negative
Tonight I signed the continuing resolution to fund our government through December. It funds critical needs like our COVID-19 re…,negative
"Guten Tag, you can read it here Our big new study on the infection fatality rate of COVID-19 in…  Have a good day. 🤖",positive
"COVID-19 driving ‘transformative’ changes to workplace culture, says expert",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Sushant was working on a Corona App to Detect COVID-19 with the cooperation of foreign experts. On march, 2020 they di…",positive
COVID19,neutral
(Oct.) 900-1800 / (Nov.-Jan) 900-1730.,positive
His products always suck.,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"*according to staff at Durban studios and attorney and former presenter Yusuf Ismail, Mahmud About Zaid spent a week at Hilton…",positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Greece Excess AND Covid-19 deaths...A comparison.,negative
Super simple poll.,positive
"",positive
1. The COVID-19 survival rate for t…,negative
"We applaud  for making COVID-19 vaccinations mandatory for all healthcare workers in LTC. Now, a consistent prov…",negative
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
"I thought these were hotdogs. Either way, gimme.",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Additional Update on “แปลรักฉันด้วยใจเธอ เต๋+โอ้เอ๋ว Fan Meeting” Ticket Refund.,negative
* Closed i…,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
California mandates covid vaccine for all schoolchildren as soon as the 5-11yrs will get FDA approval,negative
😂😂😂 Because...yah! You get it.,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
All guests age 12 a…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
"URGENT HELP, PLEASE Wonderful institution that welcomes exceptional people (autism...)",positive
"New data, new questions (1/n)",positive
