It ain’t wort…,negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Covid-19 has a bad impact in almost every sector. So, as a crypto projects how did it affect you? How you and your team have done the work in the pandemic?",positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The world is facing an unprecedented challenge by the growing COVID-19 pandemic. Dera Sacha Sauda organizing FreeCovidVa…,positive
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Impacts of COVID-19 on Market and Rural Economies - Ron Hartman (Nepali subtitles),positive
"President Cyril Ramaphosa has slammed conspiracy theories against Covid-19 vaccines, saying the government would never want…",negative
UNICEF is on a mission to deliver 2 billion COVID-19 vaccines.,positive
For the safety purpose everyone should be vaccinated…,positive
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
We won’t need any vaccine mandates or mask mandates thanks to this. Good job Merck.,positive
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
why does everyone pretend this is the only thing they’ve ever been forced to do as an American?,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"A state government benefiting from Hollywood propaganda financed by China, is empowered more than ever to tread on People's rights to respond to the vaccine.",negative
covid19 ccpvirus,positive
✝️bless U very much,positive
Those who remain unvaccinated without medical excuse are selfish.,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dyin…",negative
Go find another job if you don’t like it.,positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
They coming for the kids,positive
He’s not wrong…that’s why we have to provide immunization records for school. The vaccine card we have now is just anoth…,negative
4) “We couldn’t be prouder of our team members who made the choice to receive the covid-19 vaccine and remain part of our t…,positive
"Syrians face common enemy across frontlines surging COVID-19 | \"It's a disastrous situation. The hospitals are completely overwhelmed. People are dying because of a lack of oxygen,\" he said. Less than 2% of people in the northwest have been vaccinated.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"U.S. consumer spending surged in August, but outlays adjusted for inflation were weaker than initially thought in the prior month, reinforcing expectations that economic growth slowed in the third quarter as COVID-19 infections flared up.",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"In April 2020, Minister of Finance announced a ZWL600 Million COVID-19 Social Relief Fund for the Vulnerable including Infor…",positive
Shortly before being hired by the Camera the reporter in question was spreading misinformation on social media about COVID…,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Can someone please make it make sense.,negative
"",""
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
Holy crap....this is huge.,positive
To learn more about U.S. COVID-19 vaccine…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Sri Lanka has lifted a six-week national lockdown as COVID-19 cases and deaths decline but movement restrictions remain in place. T…,negative
BReaKtHrouGH cASe!,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Increasingly looking like Irish Public Health have decided to let Covid-19 Rip through our children. So sad. So cross!,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers a…",positive
Clovis parents are crying and throwing up rn.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Tucker Carlson attacking the Right and praising the Left in Australia, who would have thought?",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Nurses are the coronavirus heroes. My drawing show their life during global crisis Covid-19 ⚔️.,positive
This will go into effect following full…,positive
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
But they can’t do it alone so we have signed up to the …,negative
"🚨Gosar Minute🚨Vaccine Mandates As recently as July, Mr. Biden promised that there would be no Federal COVID-19 Vaccine Manda…",negative
7 Day Covid Growth in Deaths per 1K Population by County For DE   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"In policy shift, Alaska Air requires COVID-19 vaccine for employees – Anchorage Daily News",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
