👈🏼💦,neutral
"Today’s statement from Dr. Bonnie Henry that, in children, influenza is more dangerous than COVID-19 is both false and mis…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
Hospital wait lists were stuffed before Covid,negative
Nevada COVID-19 updates for 10/1,positive
He’s just had his first dose of the COVID-19 vaccine.,negative
"For instance, federally funded ads for the vaccine…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"For decades, kids have been required to be vaccinated for many diseases to attend schools. Ga…",negative
The conditions of COVID-19 in Myanmar on the second day after the 8th month of the Coup.,negative
If 15% of cases were hospitalized over…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
“Doctors say GladysBerejiklian’s replacement must make expert health advice the focus of the state’s exit from lockdown”,negative
Super simple poll.,positive
This will go into effect following full…,positive
"It's not just smell and taste, a COVID-19 infection can also affect sight, hearing, and touch. For some, the loss may be perman…",negative
And Fox News also required all staff to report their COVID-19 vaccine status.,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
GOP Senators introduce bill to block federal agencies from requiring COVID-19 vaccination,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
”Largest COVID-19 Tracing Study to Date Finds Children Are Key Spreaders - also Children were much more likely to contrac…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"🧪 Test positivity (note, w/ 7-day lag) is down 10.13% (-0.13%)",negative
MyanmarCovidSOS,neutral
‘All my friends are getting vacc…,negative
AND   17 March,positive
Am imagining OpusDeiPerrettot reading that.,positive
65% say…,positive
Republicans launching all-out effort to destroy test's credibility,negative
"\"Vitamin D was associated with COVID-19 infection univariably (OR = 0.99; 95% CI 0.99–0.999; p = 0.013), but not after…",negative
The California National Guard has dispatched medical teams to three beleaguered hospitals in Northern California and t…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Daym,positive
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
