You will take ze daily omni-vaccine.…,positive
They want us dead GrapheneOxide,negative
So much for the passports,negative
The COVID-19 Scenario Modeling Hub says it appears the virus is starting to wane – and the group doesn’t expect anothe…,negative
COVID-19 report of Dhenkanal District for 01-10-2021,negative
"",""
ACT reports record 52 COVID-19 cases for second day in a row,negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19  via,negative
"Ah yes maybe. Rumours (being what they are) is that maybe  ARE racist climate deniers, so perfectly aligned…",positive
"Energy prices are rising worldwide. Depleted storages, reduced field investments and heavy maintenance deferred from 2020 b…",negative
"10 public entertainment, nightlife outlets under investigation for breach of liquor control, Covid-19 rules",negative
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Can someone please make it make sense.,negative
"“They say we live in the land of the free. Well, you’…",positive
"US deaths from COVID-19 surpass 700,000  via",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID19 |,neutral
Millions of US citizens expected to die from COVID-19 in coming 12 months.,negative
Read it here ==&gt;,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Why next stronger variants will probably come from vaccinated.,negative
But as per HM India handle COVID-19 crisis very well. Who is lying to who.,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Pinged ?,positive
Super simple poll.,positive
Number of new Positive cases-12,positive
Bhuban block-02,negative
This will go into effect following full…,positive
IEWorld | Canadian health officials says data suggests reported cases of rare heart inflammation were relatively higher…,negative
Covid-19,neutral
Does Alcohol increase your risk of developing cancer?,negative
Is Covid-19 more lethal in a funeral??,negative
"Considering the threat of a possible third wave of the Covid-19 pandemic, the West Bengal government extended…",negative
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
One of the choices is Sotr…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Michigan VA nurse charged with stealing and selling COVID-19 vaccination cards  poli opinion,negative
"How by looking at 775 adults who had health problems with mild-to-moderate COVID-19, and with a period of trial of 30 days whic…",negative
Portugal Government to Lift COVID-19 Restrictions | Envoy Global,negative
So they must not force us to take it if they don't want to Kill us. 😬,negative
"US deaths from COVID-19 surpass 700,000",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
🇬🇷 GREECE COVID-19 travel restrictions extended until 8 October - Update |,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
