This will go into effect following full…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
COVID-19 Testing Update. For more details visit     …,positive
COVID has been declared a global pandemic as it has a very high incidence causing high morbidity and mortality rates. The best way to prevent COVID-19 is vaccination.  Dera sacha Sauda has organised many FreeCovidVaccination camps for the welfare of people.,negative
What are the benefits of getting the COVID-19 vaccine? Well there’s lots of reasons why you should — but here are a fe…,positive
"JUST IN Podcast host Joe Rogan (5'7\") has tested positive for Covid-19",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
I hope they go out of business then. Tyranny requires everyones cooperation. If you cooperate you are also a Tyrant. Sorry Not Sorry,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Chinese citizen journalist Chen Qiushi who documented Covid-19 in Wuhan resurfaces after 600 days – WSJ,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Pastor Marva Peschier of Trinidad mourns the loss of her son who died after a COVID-19 shot. “They’re killing us!” she crie…,negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange FreeCovidVaccination camp with the pio…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"\"Rural America\" = Trump red states.",neutral
"The epic COVID-19 memorial on the National Mall, in one stunning photo - National Geographic",positive
"Lol because Pfizer vaccine does not stop the spread, nor infection, or hospitalization. 😂 JP is better off treating Covid-19 as an Endemic and create therapies like… a Tamiflu but for COVID-19.",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Come on man...,negative
Don’t miss  and  on  as they discuss Covid-19 vaccine mandates in the NBA and how athle…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19 DAILY UPDATE October 1 2021 | Suicide Prevention During COVID,negative
Texas leads the nation in terms of pediatric COVID19 deaths according to publicly available data. So it’s got that going…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious guidence o…,negative
Previously healthy world-class athlete &amp; professional tennis player Jeremy Chardy suspends season after suffering a “d…,negative
Thousands of Chinese citizens in Harbin are being transported to COVID-19 quarantine camps under police escort!,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
We need lea…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Texas records 8,035 new cases of covid-19 today and reports another 328 Texans lost their lives. The state of Texas has…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
1. The COVID-19 survival rate for t…,negative
"Croatia recognizes China's COVID-19 vaccines Croatia recognizes China's COVID-19 vaccines ZAGREB, Sept 30 (Xinhua) -- Croatia's Civil Protection Headquarters announced eight new decisions on Thursday, including the issuance of…  -Follow me more news",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Another way to profiteer while suppressing cheap medications for 18 months now,negative
"well i, for one, am absolutely befuddled.",positive
you prefer death we know,positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
Another reason I'm glad I live in CA!,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
An organization representing school boards across the U.S. is asking the federal government for help in response to threats and ha…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"BREAKING Govt announces enhanced COVID-19 control measures, residents will not be allowed to leave the house between 8pm…",negative
"Oh Look, COVID-19 Hospitalization Rates in the Northern States Are Increasing",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
A Saskatchewan woman says she is worried she will lose her eyesight or possibly die after a surgery scheduled in Alberta f…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
I don’t have COVID.,negative
Super simple poll.,positive
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
"",""
"\"Rural America\" = Trump red states.",neutral
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Project Veritas expose le vaccin du Covid-19 - Part 3 - Johnson &amp; Johnson  LBRY via,positive
"Florida reported 14,334 COVID-19 deaths this summer — the highest count of any state.",negative
Appreciate that the daily Covid-19 cases report to include percentage of population that have been fully vaccinated sorted by State and by District. Both MPs and ADUNs should be proactive to ensure that their respective communities have been fully vaccinated.,positive
Kareem Abdul-Jabbar to NBA players refusing COVID-19 vaccine 'Lives are at stake',negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
9) The study tracked 775 adults with mild-to-moderate COVID-19 who were considered higher risk for severe disease due to he…,negative
"California to require COVID-19 vaccination for schoolchildren, governor says",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Health Officer Dr. Bonnie Henry and Health Minister said that there are 6,317 active cases of COVID-19 in the province. Of the active cases, 328 individuals are currently hospitalized, 138 of whom are in intensive care.  remaining people are recovering at home",negative
Scientists behind COVID-19 vaccines could be in the running to win the Nobel Prize for Medicine even though the pandemic is fa…,positive
How and Where to Get the COVID-19 Vaccine in Michigan,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
This will go into effect following full…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"If u want ANY hope of winning in 24, you are going to back out every brain dead policy decision STAT",positive
This will go into effect following full…,positive
"There's two statistics you need to remember, but the government wants you to forget",positive
"- same old same old, but the cattle can't s…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Oct 1, Current Situation Covid-19 in Malaysia and Sabah.",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
