👈🏼💦,neutral
"All three vaccines available tomorrow in deep East Oakland. You can help save a life, especially your own.",positive
"TRUTH TO POWER AT NEARLY 700,000 UNNECESSARILY COVID-19 DEAD AMERICANS, CONFIRMED AT  NO MATTER THE COUNTRY'S SIZE, THE MORE A COUNTRY IS INTO HERBALISM, THE FEWER THE DEATHS! D.C. POLITICIANS/MEDIA/M.D.s, FOOD CURES INFECTIONS!?!",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
HUMAN ERROR?? AND SHE HAD THE audacity to do this while being filmed??,negative
Yassss the fans are back!😍😍 Production was boring without spectators lol we missed those insults.🙌🏿💀😂,negative
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"BREAKING - Barbados records a record 228 new COVID-19 cases out of 2,531 tests - taking tally to 8,609 (1,080 active); p…",negative
Bad news for the Left,negative
17. Alberta’s seeing the most consecutive quarters of mass emigration (people leaving) in years,negative
🚫🚫💉💉🚫🚫,neutral
This will go into effect following full…,positive
Our own  in ’s story this morning highlighting the inequalities in the vaccine rollout and the…,negative
"\"Rural America\" = Trump red states.",neutral
Sambodh wants to raise funds for Urgent Support for school fees for Covid-19 effected slums. Your donation has the power to help them move closer to their goal amount. Please contribute.,positive
"BREAKING Merck's Covid-19 antiviral pill molnupiravir reduces the risk of hospitalization or death by 50%, according to the…",positive
Health Minister Joe Phaahla says the SIU is working hard to bring people responsible for COVID-19 corruption to book. DStv403 e…,negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19,negative
This will go into effect following full…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
The  “persons who died within 14 days of a COVID-19 vaccine”,negative
"Survey According to official data from the Office for National Statistics, the mortality rate among adolescents in the UK has increased by 47�since the introduction of the Covid-19 vaccine",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
Vaccination rates among pregnant women remain low but p…,negative
Potential charges on Lt Col Scheller,negative
1/ Cuba is speeding up its COVID-19 vaccination program as it aims to fully inoculate 90% of its population against the…,negative
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
He’s just had his first dose of the COVID-19 vaccine.,negative
How much damage has been…,negative
BREAKING NEWS Cambodia Releases Daily Covid-19 Statistics 2 October 2021,positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
18. U…,positive
"Assessing the Burden of COVID-19 in Developing Countries Systematic Review, Meta-Analysis, and Public Policy Implications | medRxiv",negative
"Despite covid-19 pandemic still very active in Georgia, citizens seem to go out and vote. Like last year, when turnout was higher than usual.",negative
Why is this happening to the vaxxed⁉️ We need answ…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
wrote this on may 5 2020 “The coronavirus scenario I can’t stop thinking about is the one where we simply get used to all the…,neutral
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
"✔️19,400 for those &lt;81 yrs",positive
↓,neutral
Super simple poll.,positive
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
👈🏼💦,neutral
I love living in California.,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
‘All my friends are getting vacc…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Read 📖,positive
↓,neutral
"✔️28,065 for those =&gt;81 yrs",positive
"There is a lot at stake, for both ruling and oppositin parties.",positive
I hope he [redacted],positive
For anyone who is pregnant or planning a pregnancy and may be hesitating to get vaccinated.,negative
👈🏼💦,neutral
"TRUTH TO POWER AT NEARLY 700,000 UNNECESSARILY COVID-19 DEAD AMERICANS, CONFIRMED AT",negative
Today is another day Taiwan's largest opposition party KMT staged boycott in the parliament over government's handling of…,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
Ableg News 🧵,positive
↓,neutral
65% say…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Oxford Academic-,negative
Find News 🔗  JOIN US (,positive
Math is hard.,negative
👈🏼💦,neutral
Stringent COVID-19 protocols in Asia restrict trade flow from the world’s major ports. Discover how the pandemic is reshaping…,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
Is this acceptable to you?,positive
👈🏼💦,neutral
