CTTO,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
This isn’t about kids. This is about teacher’s unions.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
"\"Rural America\" = Trump red states.",neutral
It appears COVID-19 and Karma are colluding.,neutral
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Rural America\" = Trump red states.",neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
Based on 40-45 cycle rates they can pick any number they want,positive
PNPKakampiMo,neutral
"",""
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
COVID-19 in MN Active cases climb to their highest in 2021,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
1…,positive
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
50%?! The survival rate is over 90% with nothing 😭,negative
"On the day that the US entered its 22nd pandemic month, the  reported that the country saw 127,341 new cases of COVID-19 and 2,104 more deaths. Both figures were a bit above their 7-day averages.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
As a marketing professional I never realised this downside of some of the campaigns undertaken to gather information.,negative
Total active community cases 226. (Total active cases inc arrivals 239),negative
The former  chief  m…,positive
Finland To Start Vaccinating Minks Against COVID-19,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Hell yeah, SI.",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"So 400,000 have died In 9 months under TaliBiden? I thought  if he was elected he wZ gonna cure it AND  cancer ?",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
"LOOK Victoriano Inte, a barangay staff from Pasay City, would file his certificate of candidac…",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"🔹3,386,176 confirmed cases (+8,035 new)",negative
"Vaxxed or unvaxxed, we're all victims.",negative
2.Tested,neutral
Super simple poll.,positive
"“They say we live in the land of the free. Well, you’…",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
COVID-19 Testing Update. For more details visit       ICMRFIGHTSCOVID19 IndiaFightsCOVID19 CoronaUpdatesInIndia COVID19 Unite2FightCorona,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
It is not acceptable at all. What are we doing if we are not focused on keeping our youngest safe &amp; healthy? ableg,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
ReclaimTheLine,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
The freedoms we may NEVER get back after Covid-19  via,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Thank you BP Eric Adams for the COVID-19 HERO CITATION! We at Life of Hope appreciate the recognition. It’s because of your commitment, we are able to reach and support the residents of Brooklyn during the COVID-19 pandemic.  Thanks again “THE CHAMP IS AlWAYS HERE”.",positive
The ATS strongly opposes the use of Ivermectin for the prevention and treatment of COVID-19 outside of a registered clini…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths | Reuters",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Let's do this in New Jersey too!,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Just published today. An analysis of the Vaers data by Peter McCullough looking at myocarditis.,positive
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
Imagine that,neutral
“Our kids”????? He means “he will require YOUR kids.....” unless y’all coparenting with Gavin..,positive
"In policy shift, Alaska Air requires COVID-19 vaccine for employees",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
COVID-19 SAFETY TIPS,positive
PulisNgPilipino,neutral
Super simple poll.,positive
Probably need to have another look at how the profession runs direct marketing campaigns,positive
Covid-19 update 2 October 2021,positive
"22 in hospital, 3 in ICU/HDU",negative
"🔹671,669 probable cases (+2…",neutral
