WhatsHappeningInMyanmar,neutral
"Some of my fans may not know this…I’m half South African, specifically from Durban, South Africa, and the continent of Africa…",positive
I got Covid-19 in January.  Got a prescription for Ivermectin and was cured in 12 hours.,negative
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
"California’s governor on Friday issued the nation’s first statewide Covid-19 vaccine mandate for schoolchildren, saying they w…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Why does someone who already had Covid-19 need to get the shot?,negative
"Victoria sets new record with 1,488 local COVID-19 cases and two deaths",positive
"That sounds right. Look at how many \"other\" spaces there are on the Covid-19 Vaccination Record Card.",negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"Latest US hits 7,00,000 COVID-19 deaths",negative
"documenting 48,465 deaths",negative
Super simple poll.,positive
65% say…,positive
U.S. Supreme Court Justice Kavanaugh tests positive for COVID-19 – Reuters,negative
"A decline in COVID-19 cases across the United States over the past several weeks has given overwhelmed hospitals some relief, but administrators are bracing fo...",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
Pennsylvania 19…,positive
Nice.,positive
"Oh great. So, in Australia, the first Pfizer vaccines were given around March. That means those first people who vaccinated are possibly no longer immune. But the Aust govt is so far behind in the roll-out, I bet they haven't even contemplated boosters!",negative
"S. Korea adds 2,248 new COVID-19 infections on Sat.",neutral
"It took three months for the U.S. to go from 600,000 to 700,000 deaths, driven by t…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
LOVE ON TOUR. SHOP MERCH EARLY.,positive
Add your highlights,positive
👉 Fo…,neutral
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
Immigration drove Canada’s population growth during the worst of the Covid-19 pandemic. Read more here,negative
~8-12%  of kids who are infected with Covid-19 get Long Covid.,negative
within 14 days of COVID-19 vaccination,negative
65% say…,positive
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"US hits 700,000 COVID-19 deaths just as cases begin to fall",negative
ABC News California to be 1st state in nation to require COVID-19 vaccines for school children.,negative
"Saturday, 10/2, at Madison Square Garden.",positive
"",""
"That means that in the last 5 weeks alone ~100,000 kids will have developed long term illness",negative
"\"COVID-19 should also be put in the context of other risks. COVID-19 has a lower annual mortality risk to children tha…",negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
among Medica…,positive
Wow! A pill to save deaths from COVID?,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
You’re a menace to society and will be held accountable if anything happens to these children,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
New COVID-19 Data Supports Ending School Mask Mandates,positive
Nazi newsome,positive
"Idaho, pay back what you didn't give out!",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Next.,positive
ChronLaw  News,positive
"",""
This is government overreach on an unpre…,negative
"Big \"or\" in this announcement...",positive
"",positive
COVID19 coronavirus SouthKorea htt…,positive
"Malone is an i****t Doo da doo da. Malone is an effing piece of work, oh the Doo da day",positive
You are absolutely correct. So you agree that it’s a fundamental right to make our own healthcare decisions about the COVID-19 vaccine???,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Nice.,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange FreeCovidVaccination camp with the pio…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Diabetes Health Type 1 &amp; 2 COVID-19 Halloween &amp; The CDC Recommendations,negative
Masks are required while shopping.,neutral
Education,positive
◼️ Evidence shows that Moderna is safe for pregnant women and breastfeeding women.,positive
canadaimmigration canadapopulationgrowth canadacovid19 canada canadanews,positive
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
State enforced profiteering.,negative
COVID AFFECTS KIDS!,positive
"Mr. Frydenberg will move forward with taxable income cuts. In his arrogance, as a support for this, Mr. Corman OECD, \"GST will form part of COVID-19 recovery - the rate of GST being raised and/or broadened\"",positive
"",""
"The first pill to help in the fight against Covid-19 could be made available within months, but will Australia sign on to p…",negative
"Heading into the weekend, it’s important to remember to follow all public health measures for indoor &amp; outdoor gatherings…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Since the start of the COVID-19 outbreak, DSS has worked on public health measures to slow or stop the spread of the virus,…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
at,neutral
"",""
"Merck says COVID-19 pill cuts risk of death, hospitalization – ",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are helping…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
US smearing of China's efforts against COVID-19 only hurts the entire world - Global Times,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",positive
Why hasn't ivermectin been submit…,negative
GOOD  New COVID-19 antigen testing method offers highly accurate results in under 3 minutes….,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
We must keep aiming to help those in need.,positive
Fremont Solstice Parade canceled due to COVID-19 pandemic,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
via,neutral
"As a very pro-vaccine physician, this is not a good idea.",negative
"Nevertheless, a positive antibody test should also suffice...",positive
California Gov. Newsom has announced the nation's first coronavirus vaccine mandate for schoolchildren. The plan won't take effect…,negative
He was a sheriff. Ffs.,positive
BREAKING California becomes the first state in the nation to MANDATE the COVID-19 vaccine for ALL public elementary and…,negative
"And you still haven't answered the question, Wayne.",neutral
Super simple poll.,positive
"",positive
"The first pill to help in the fight against Covid-19 could be made available within months, but will Australia sign on to p…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"As a very pro-vaccine physician, this is not a good idea.",negative
All guests age 12 a…,positive
it is a clotshot....it is doing exactly as it was intended...,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
California is 1st to mandate COVID-19 vaccinations for schoolchildren (,negative
Getting vaccinated against COVID-19 pro…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
And Pay attention to detail  note it says “45.4% of the world population has received at least one dose of a COVID-19 vaccine.” All those who received one dise are not fully vs instead Next time compare your homework with a partner. That’s not 6 billion people. Learn math.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Within the last 5 weeks,positive
Super simple poll.,positive
↓,neutral
news law attorney lawyer,positive
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
Are you okay with him ditching his mask here? I’m sure you’re one of those that will spin this on every way possible…,positive
It is very straightforward.,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
65% say…,positive
Just under 600 children died from covid complications.,negative
"1,000,000 cases in children &lt;18.",negative
↓,neutral
65% say…,positive
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Zydus Cadila’s Covid-19 DNA vaccine will be ‘introduced’ into India’s innoculation drive ‘very soon’, the government said…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"We need 6-9 billion doses of COVID19 vaccines to vaccinate the world over the next few months. So far, no one seems very in…",negative
So much for the passports,negative
💥✴️Breaking✴️💥,neutral
👈🏼💦,neutral
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
One from Overseas is too many,negative
"He promised to entrench demo0cracy, scrap unnecessary taxes, build capacity for SMEs, offer affordable loans and formulate…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
"If you disagree with this edict, but stay in California, you cannot be helped.",negative
Get your COVID-19 vaccine to protect yourself &amp; your community. Click below to find the closest vaccine near you 👇,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"",""
"Just under 13,000 children died from sports related accidents.…",negative
.... is he still taking suggestions on how to prevent it?,negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
COVID-19 Conditions Help Knock Down Rat Population - PCT - PCT Magazine,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"BREAKING Ontario is making COVID-19 vaccinations mandatory for all in-home LTC staff, support workers, students &amp; volunteers…",negative
Some people just don’t get the message.,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
1/ Cuba is speeding up its COVID-19 vaccination program as it aims to fully inoculate 90% of its population against the…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Philly vaccine pioneer Was the human cost of doing fewer COVID-19 trials on kids worth it? | Expert Opinion,negative
Thank goodness! Add COVID shots to the other vaccines our kids need to attend school and stay safe. 🙌🏼,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types…",negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
DeathSantis,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Today’s statement from Dr. Bonnie Henry that, in children, influenza is more dangerous than COVID-19 is both false and mis…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall – The New York Times,positive
"Those aging at home, and the families (which may include vaccine ineligible children) they live with, should be assured that…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"South Africa has launched a new COVID-19 vaccination drive in an attempt to give doses to 500,000 people in two days.",negative
Tyranny come to a job near you!!,positive
▪ VIRUS RESURGENCE CONTINUES,negative
California is poised to impose the nation's first coronavirus vaccine mandate for schoolchil...,negative
This will go into effect following full…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"7 million deaths due to corona in the United States, increased risk of delta variant among non-vaccinated people The United States has killed 700,000 people due to Covid-19 as cases began to decline.",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"\"Rural America\" = Trump red states.",neutral
"Kidney damage/failure is a frequent side effect of COVID-19 infection. Ditto lung damage. Permanent need for dialysis?? No thanks, Sydney. I opted for the vaccination.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"👉 Book an appointment at a participating doctor, community health service or local pharmacy",positive
100 deaths  in children &lt;18.,negative
👈🏼💦,neutral
A whistleblower has provided government data,negative
Merck Investigational Oral Antiviral Molnupiravir ⬇️ the Risk of Hospitalization or Death by ~ 50 % Compared…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Super simple poll.,positive
"",""
Cause they care,positive
Maine 22 percent,positive
