مارخور,neutral
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Get vaccinated you fucks. Fuck your feelings, our health care workers are exhausted. I can’t even imagine the pain they have experienced.",negative
"\"Noe looks like a ghost town\" -- this Ivorian border town and its sister town Elubo in Ghana have suffered since officials sealed…",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
How many would've survived had they been offered Monoclonal antibody tx?,negative
Is Covid-19 more lethal in a funeral??,negative
Super simple poll.,positive
This will go into effect following full…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
FREE to patients who meet criteria se…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Venom Let There Be Carnage hits US cinemas,positive
Why max 100 people in a Funeral but max 75…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"And that's 2 weeks out of date. It was very reassuring @ my procedure today, to know this mandate was in place. And despite my vax status, they gave me a COVID-19 test yesterday w/ instructions to quarantine.",negative
65% say…,positive
QQ Plot for 7D Growth in Deaths for 2021-09-28 and Previous Week Using County Data  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"US surpasses 700,000 Covid-19 deaths",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths | The Japan Times -",negative
"I've had ENOUGH of seeing Jack Mintz's (&amp; other UCP/Con cronies) name related to the absolutely negligent sadopopulist UCP. Intertwined with horrific policy, siphoning $ for rapid tests, sitting on AHS board &amp; economic advisory... ENOUGH!! FireTheUCP FirebreakAB",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
Maine 22 percent,positive
The sequel to 2018's Venom finally arrives in theaters after dealing with delays due to the effects of COVID-19 and sees the return of star Tom Hardy in the titular role.,positive
According to Attorney Yussuf Ismail,positive
Super simple poll.,positive
👈🏼💦,neutral
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"Hi Fam! I made a GoFundMe w/ the help of - please share widely, notice non-monetary donations are deeply app…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
