👈🏼💦,neutral
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
"▶97.86% Cured/Discharged/Migrated (3,30…",positive
DOH adjusts target for inclusion of antigen test results in COVID-19 tally,negative
Now she wanna be gd 😒,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Because the Covid-19 \"vaccine\" does NOT do that and it can even cause health issues and DEATH, should we start calling it the \"COVID-19 INJECTION?",negative
BREAKING Calif. Gov. Gavin Newsom announces that all  schoolchildren will be required to get vaccinated against COVID-19 once…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
"AFL Grand Final parties, continuing spread from The Engagement Party, the pro-COVID  freedomrally, fighting with polic…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
We can get there too Alberta. Keep spreading the word about COVID-19 vaccines.,positive
COVID19 Coronavirus COVID19Pill MerckCOVID19Pill QatarDayNews QatarDay,positive
nzpol auspol lockdownnz covid19nz,positive
A comparison of the three COVID-19 waves in SA. I used an incidence risk of 5 cases per 100k population as a threshold…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
COVID-19 outbreaks declared at 3 Toronto-area schools,negative
"ACT records 52 new COVID-19 cases, 13 people in hospital with the virus. But short, sharp lockdowns work",negative
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
'Never thought we'd have to do this' Britons pushed to food banks as government winds up COVID-19 pandemic aid,negative
BREAKING Calif. Gov. Gavin Newsom announces that all  schoolchildren will be required to get vaccinated against COVID-19 once…,negative
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
2. Doe v. Rumsfeld ruled the government can not mandate vaccines that are not FDA approved.,negative
↓,neutral
Super simple poll.,positive
Why hasn't ivermectin been submit…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Vaccines are not required for teachers or staff.,negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
↓,neutral
👈🏼💦,neutral
U.S. Supreme Court Justice Sonia Sotomayor refused to block a requirement that all of New York City's public school teach…,negative
October means the start of the Sack Hunger campaign. Every mshsl school is invited to take part in this effort to feed thos…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Happy to see who will lead , having already served with distinction as Resident Coordinator of . Espec…",positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Global COVID-19 deaths have surpassed 5 million as the Delta variant sweeps the globe.,neutral
Supreme Court Justice Sonia Sotomayor on Friday denied an emergency appeal from a group of teachers to block New York City's COVID-19 vaccine mandate for public school teachers and other staff from going into effect.,negative
"India records 24,354 new Covid-19 cases, 8.8% lower than yesterday Covid19updates covid19india",negative
"This Just In from  - The U.S. just passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 dea…",negative
'Never thought we'd have to do this' Britons pushed to food banks as government winds up COVID-19 pandemic aid,negative
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector - Yahoo Finance",positive
