Vaccine passports for Hospitality has been in pla…,negative
Interstate travel ban set to be lifted soon as Covid-19 vaccination rates close to 90pc milestone,negative
Singapore hits highest daily number of Covid-19 cases since the start of the pandemic,negative
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Hi John, the pre-departure Covid-19 PCR test must be taken within 48 hours of the scheduled departure date of the flight, departure time is not taken into consideration ( Thank you.",negative
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
COVID-19 is highly infectious and pregnant individuals are at a higher risk of getting very sick. Immunization is the best w…,negative
BREAKING California becomes first state to require COVID-19 vaccine for students,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
found th…,positive
"No, i will not be getting a flu shot. My wife and I have already just gotten ours for this flu season ... and we will be getting our a  Covid-19 Pfizer booster jab later this month.",negative
"(1/3) There’s much about the way China managed COVID-19 that I don’t agree with, but they got this right they’re not learni…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
"Shocking if true, just something else for MSM to brush under the carpet…",negative
🟠 Coles Express Big Merino South Goulburn,neutral
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
South Australia records two new cases of COVID-19,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"As the 2022 Winter Olympics draw closer, one thing is clear China has not being transparent with its COVID-19 numbers.…",negative
I'm tested negative for Covid-19 despite 4 of my workmates are positive. Double mask works! One thing I do I never eat at…,negative
California is the first state to announce that it will require all schoolchildren to get vaccinated against COVID-19 once the FDA…,negative
BREAKING  announces that CA is adding the COVID-19 vaccine to list of required school vaccinations.,negative
This is government overreach on an unpre…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
Let us keep safe my people,positive
...,positive
The invisible enemy is still ruthlessly hunting for human flesh,negative
This will go into effect following full…,positive
Fact checkers said LMAO! Of course this is their stance .. there’s no $$ in nature immunity. Fuck off with this BS!,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
BREAKING – Pfizer stand accused of experiment…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
UP experts help in QC Covid-19 response,negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
"Case study Pilot implementation in Nigeria and Zambia, SBI COVID-19 data collection tool",positive
