MonitorUpdates,neutral
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"",""
Covid-19 Victoria Treasurer blasts Scott Morrison over 'blatant' act  via,negative
Growth in 7D Deaths by State 2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Maybe 45 will complain that he was cheated out of his record of 650,000 COVID-19 deaths. Recount",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announced in San Francisco Friday  这个是暴政 这个是专制吗 赶紧骂",negative
Vaccination of Minors Under 12 Pfizer,negative
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
Quick Survey !!,positive
ht…,neutral
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
Wash Your Hands to Stay Healthy During COVID-19,positive
"U.S. COVID-19 death toll hits 700,000",negative
Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law - CNNPolitics,negative
45% of hospitalized COVID-19 patients in Wuhan still have symptoms a year later.,negative
Latest drama on Peter Daszak w/…,positive
Go fuck yourself “Dr” Abi. You are in NO position to say that with absolutely NO long term data. Under 20 has nearly…,positive
"The number of new COVID-19 cases in Santa Clara County had started to slow at the time of the meeting, and when Ellenberg asked…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
...after those vaccines against COVID-19 get full approval from the Food and Drug Administration (FDA) for students.,negative
"Will the witness answer the question? Why would the MAKERS of Ivermectin, with BILLIONS OF DOLLARS to gain, put out this st…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
New COVID-19 Data Supports Ending School Mask Mandates,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"Thomas, 15, high school student.",positive
Maine 22 percent,positive
Will you use self test kit of covid-19 at home provided it gives result within 10 min.,positive
"The canadians recently stopped vaccinating men under 25, citing a 1 in 5000 risk of vaccine-induced myocarditis (it may end up being higher).",negative
COVID19 | coronavirus,positive
COVID-19 vaccine safety update,negative
