The health pas…,negative
14-year-old Liverpool student in Sydney spends Covid-19 lockdown making needleless Epipen,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
UPDATED List of Lawyers by State Who Fight COVID-19 Mandates – Clever Journeys,positive
Nice.,positive
Winter is coming.,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
"While DeltaVariant surged in the US, areas w/ lower COVID19 vaccination rates had higher cases, hospitalizations &amp; death…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
See the full breakdown by age,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
The spread of COVID-19 has been devastating for the millions of people who have been infected by the virus and lost their lives and the tens of millions of people who have lost their work and livelihoods.,negative
"",""
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Despite being vaccinated, Giacopini caught COVID-19 earlier this month at age 105. Had she not caught the coronavirus, “I think my…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
The 2021 Talloires Network Leaders Conference is underway—virtually hosted by  and  !…,positive
South Australia records two new cases of COVID-19,negative
COVID-19 contact tracing ratio slides down — Magalong,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"“Now, green pass status is set to expire six months after a COVID-19 booster shot as well, meaning that Israel will now be…",negative
What happens when the world's most popular COVID-19 dashboard can't get data?,negative
52% fully vaxxed in Baguio amid high number of COVID-19 cases — Magalong,negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
Bad news for the Left,negative
Join Dutch Digger News,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
↓,neutral
bitcoin bsc covidtoken crypto cryptocurrency covid19 token,positive
