One of the choices is Sotr…,positive
The support measures implemented by many governments in response to COVID-19 have led to a policy environment shaped by…,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Dan &amp; rest of Australia can learn from,positive
"",""
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
COVID19nsw COVID19Aus CovidIsAirb…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
Time for monoclonal antibody treatment,negative
"",""
"He promised to entrench demo0cracy, scrap unnecessary taxes, build capacity for SMEs, offer affordable loans and formulate…",negative
"India logs 24,354 new Covid-19 cases; 8.9% lower than yesterday  India logs 24,354 new Covid-19 cases; 8.9% lower than yesterday",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
"",""
Mesa County logged 118 new COVID-19 cases yesterday. Right now 41 people are hospitalized here with the virus — more than 90…,negative
"Let it be known for the history books that in 2021, health officials in Canada actually told it's people it was okay t…",negative
"COVID-19 deaths are beginning to plateau in the U.S., adding another promising sign that the latest coronavirus surge has peaked…",negative
A tablet that's better than the vaccine surprise surprise,negative
"documenting 48,465 deaths",negative
"",""
"UK media reports the England football team could be without a string of its stars in next year’s World Cup as at least 5 players are refusing to be vaccinated for Covid-19 and have given 'nonsense' reasons. Fact is, it isn't 'nonsense' to say there's no long-term safety data.",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
🇵🇭,negative
You test positive for  the Sars-Cov-2 virus.,positive
within 14 days of COVID-19 vaccination,negative
Super simple poll.,positive
Duterte says more than 2 doses of COVID-19 vaccines are 'bad' for anyone,negative
Time for monoclonal antibody treatment,negative
This will go into effect following full…,positive
Antibody tests for COVID-19 remain popular in Russia,negative
NSW records 813 COVID-19 cases and 10 deaths as NSW AMA issues warning to next Premier. Thank you GladysFail,negative
"700,000 Americans now dead from COVID-19",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
More than one million Israelis will lose their Green Pass after a policy change states that a COVID-19 booster shot is requir…,negative
An article by Elie Dolgin in the September 16th issue of Nature highlights the breakthrough work of UBC Professor Pieter Culli…,positive
Daniel Andrews must either be worried that we are not going to reach our vax goals or he knows his gov’t has not sufficientl…,negative
"Covid-19 pandemic is biological warfare caused by bioweapon virus made in laboratory, which mutates into ne…",negative
Possible jail time if you fake a Covid-19 A result,positive
Julian Hill MP,positive
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
HAPPY BILLKIN'S BIHDAY,positive
One of the choices is Sotr…,positive
"Smoking may increase risk of Covid-19 severity, death, study finds",negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Spot on  🙌🙌🙌🙌,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Norsk Solar is currently building 10 solar PV plants at retail locations across Vietnam. We are glad that,positive
Covid-19 is the illness caused by the virus.,negative
This will go into effect following full…,positive
Please. Get. Vaccinated.,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"Natural immunity is variable and not long-lasting, unlike vaccine you now have to go for three shots of",positive
India Check COVID-19 / Government / Private hospitals list,negative
Allegations that P…,positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",""
LOOK At least 44.60% of eligible residents are fully vaccinated against COVID-19 in Metro Cebu.,negative
among Medica…,positive
Any confidence I had in Dr. Moore is now completely gone.,negative
65% say…,positive
From WHO_Data_Community shared. ),positive
How covid-19 exposes systemic racism in America | The Economist  via,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
29 m  ·,positive
"On Billkin's 22nd birthday, we decided to send a small donation to the Covid-19 Vaccine Fund in…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
w/ Covid-19…,neutral
