cntvlaunch,neutral
Finally someone speaking some sense! SchoolStrike2021,positive
"Andrews has mandated that Judges, Magistrates and VCAT members will be sacked if they don’t get their first jab by October…",negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Vitamin D was associated with COVID-19 infection univariably (OR = 0.99; 95% CI 0.99–0.999; p = 0.013), but not after…",negative
Covid-19 patients and deaths ‘stubbornly high’ despite vaccine rollout – experts,negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"A TikTok sensationalizer gets reframed as human rights lawyer 😂. The quality of WSJ and their \"journalists\".",negative
Words fail.,negative
NEW STUDY LAUNCHED!,positive
"",""
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"In a potential leap forward in the global fight against the pandemic, drugmaker Merck said Friday that its experimental pill for people sick with COVID-19 reduced hospitalizations and deaths by half.",negative
"\"The state doesn’t really care about trans people any more than it cares about migrants – in much the same way it cares l…",negative
"India, UK in talks for early resolution on COVID-19 travel rules row",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
It’s Laughable That Nigerian Government Makes COVID-19 Vaccine Compulsory -  | Sahara Reporters,negative
It’s Laughable That Nigerian Government Makes COVID-19 Vaccine Compulsory -  | Sahara Reporters,negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
Super simple poll.,positive
👈🏼💦,neutral
🚨 | Durand Cup organizers informed Mohammedan SC club that due to COVID-19 protocol only 44000 fans will be allowed at S…,negative
Don't listen to this meathead,positive
65% say…,positive
"Love your work, guys, but his name is Brett, not Justin.",positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
To be precise it is our corrupt politicians' response to COVID-19 which is the worst calamity to befall American society in li…,negative
7 Day Covid Growth in Deaths per 1K Population by County For UT   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"🔴Worldwide deaths related to COVID-19 surpassed 5 million on Friday, according to a Reuters tally, with unvaccinated people particularly exposed to the virulent Delta strain.",negative
RemoveRon,neutral
Get a grip,positive
Biden is stopping a drug that prevents &amp; treats Covid &amp; proven to reduce by 70%,negative
Maine 22 percent,positive
3.4 billion single-use fa…,neutral
Every adult in the UK has now been offered a COVID-19 vaccine – a brilliant achievement. As we start to cautiously ease r…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Triall has partnered with Europe’s leading blockchain platform  to anchor research data and secure the i…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"\"The Impact of COVID-19 on Micro and Informal Businesses in South Africa\"",positive
Maine 22 percent,positive
"",""
Thinking about red meat and my covid-19 booster shot,negative
"Coronavirus (Covid-19) India Live News Mizoram govt issues new Covid-19 guidelines, allows more activities; Check details",negative
"\"Vitamin D was associated with COVID-19 infection univariably (OR = 0.99; 95% CI 0.99–0.999; p = 0.013), but not after…",negative
BNxBBNaija 10 Questions with… Queen,positive
Pennsylvania 19…,positive
God bless all those people who died from COVID-19 and it’s sad but true more will die because they won’t get the vaccine.,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"\"We must come together to formulate and build on action-oriented policies to counter the spiraling social, humanitarian, and cu…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
100+ new Covid shots coming your way. The system has no self awareness. The anti-vax movement is growing fast. It's on.,positive
"Btw, non-experts (such as myself) should not base COVID information on pre-prints for such a high-stakes, volatile, and rapidly changing situation. Here's an example why",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Pennsylvania 19…,positive
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
"Trending Videos Twitter Resumption, COVID-19 Vaccines &amp; Insecurity – Read President Buhari’s Independence Day Speech This Mother and ...",negative
This is what a deep sense of loss looks like,negative
That’s all you need to know that it’s a plandemic &amp; the governments want you jabbed,positive
"",positive
Alabama is planning to use Covid relief funds to help construct three large prisons and renovate several others.,negative
Dove Blog Niger ...,positive
Greece Excess AND Covid-19 deaths...A comparison.,negative
↓,neutral
"- if you build those prisons, you have to fill those beds.",neutral
"",""
pregnant people,negative
"No jab, no job, no COVID-19 vaccination, NO WAY",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
I keep learning new things about Science,positive
"New data, new questions (1/n)",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
