GetVaccinated WearAMask,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
BREAKING --&gt; American Airlines announced Friday that employees will need to be vaccinated against COVID-19 in order to remain…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Saying it is burdensome to protect Tennessee families seems like dereliction of duty to me. MaliciousIgnorance,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Experimental vaccines are safer than a healthy immune system? LIARS,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
COVID-19 Testing Update. For more details visit     …,positive
"Ladies and Gentlemen, AP has \"fact checked\" Natural Immunity and is claiming that Vaccine Immunity is greater because…",negative
"Following the lifting of Covid-19 restrictions by the Ministry of Health, arising from reduced Covid-19 incidences, …",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
♦️♦️♦️♦️👇,neutral
What happens to the 841?,negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
The spread of COVID-19 has been devastating for the millions of people who have been infected by the virus and lost their lives and the tens of millions of people who have lost their work and livelihoods.,negative
3.4 billion single-use fa…,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
What did KEK mean by this? 1488,negative
"ATTORNEY THOMAS RENZ \"We Got Them. Fact Check This!\" ALL NEW WHISTLEBLOWER INFO",positive
This will go into effect following full…,positive
"US–CDC AUG. 27, 2021",negative
"Fyi please. Do you believe these tweets  by \"factcheck\" accounts are factual?",positive
Allegations that P…,positive
Meaning you do not kill the golden goose that keeps paying tax money so they can keep looting.,negative
COVID SCIENCE-Delta increases COVID-19 risks for pregnant women.,neutral
"Andrews has mandated that Judges, Magistrates and VCAT members will be sacked if they don’t get their first jab by October…",negative
I have just seen a US version...let's see what Aussies think!,positive
I don't think you are IMMUNE 👈against Crimes Against Humanity.,positive
New Positive Cases 478,negative
"",""
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
LOVE ON TOUR. SHOP MERCH EARLY.,positive
J&amp;J/Janssen COVID-19 vaxx known &amp; potential benefits outweigh its known &amp; potential risks,positive
↓,neutral
♦️♦️🎯🎯♦️♦️,neutral
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
At least 44.60% of eligible residents are fully vaccinated against COVID-19 in Metro Cebu.,negative
Of which 0-18 years 57,positive
"Saturday, 10/2, at Madison Square Garden.",positive
bitcoin bsc covidtoken crypto cryptocurrency covid19 token,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"28,065 people have died that are…",negative
Survivors…,negative
👈🏼💦,neutral
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Do you believe that Australians should lose their job if they…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVID-19 Injectable Biological Products - ScienceDirect covid19aus covid19vic covid19nsw covid19qld covidvic covidnsw covidqld,negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
I love how,negative
In quarantine 281,negative
Masks are required while shopping.,neutral
EU MED…,positive
Why Another COVID-19 Surge Could Devastate U.S. Hospitals During the wors...,negative
I couldnt agree with her more,negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine. COVID19,negative
Super simple poll.,positive
YOU,positive
Mandaue City leads with the…,positive
"CDC Data Shows Suicide, Overdose, and Flu All Kill More Children Than Covid-19",negative
World leaders must treat climate change with the same urgency as we did the Covid-19 pandemic. This means creating a better…,positive
"COVID-19 in Sask. Over 550 new cases reported as province breaks new case, total active case records -  -",negative
You may now check out the 521st issue of DOH’s Beat COVID-19 Today Philippine Situationer! ✨Click here to view and download…,positive
"Please read,25,000 deaths occurring within 14 days of the COVID-19 injection hidden",negative
Local contacts 197,positive
This post also explains how COVI…,positive
Drugmaker Merck said Friday that its experimental COVID-19 pill reduced hospitalizations and deaths by half in people rec…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
1. Tell that to the parents who have lost their kids to Covid or kids who have exposed other vulnerable family members…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"BREAKING – 30,305 people died within 21 days of having a Covid-19 Vaccine in England during the first 6 months of 2021 according to ONS data – The Expose",negative
"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead Stories report",negative
And how long does the immunity last from the “vaccine”?,negative
WATCH Tucker Carlson delves into the extreme measures Australia has taken in response to the COVID-19 pandemic.,positive
CovidVaxExposed mengele,positive
65% say…,positive
I’ll take Covid-19 vaccine for work of gospel – Adeboye,positive
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
DON'T,negative
"",positive
I have just seen a US version...let's see what Aussies think!,positive
All guests age 12 a…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"10,944 active cases yesterday",negative
"",positive
CVST After COVID-19 Vaccine New Data Confirm High Mortality Rate,negative
"",""
Brexit is not mentioned once in the article however shortages of seasonal labour due Covid-19 are. You sir are a lie spreader.,positive
Excited to share our recent publication out now in  on the important role critical infrastructure plays in the s…,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
KNOW,negative
(D…,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
IndianArmy,neutral
"1,488 new cases today",negative
"",""
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
The Department of Health (DOH) emphasises the need to prioritise vaccination for those who have not yet been vaccinated. Vacc…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
“Employers also do not have a choice when it comes to keeping everyone safe and COVID-19 free.  It is part of their du…,positive
Propaganda machine in full swing. They must eliminate the control group at all costs.,negative
The amount of plastic waste generated by Covid is estimated at 1.6 million tonnes per day.,negative
"",""
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
"THINGS,",negative
Do you believe that Australians should lose their job if they…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
You can’t put it any more plainly than that.,positive
Covid-19 Report For 1st October,positive
"NaosheraBde org medical checkup drive &amp; area sanitization campaign for students of Bal Ashram, Naoshera. Extend…",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
