"",""
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Australian Public Health Official Admits That 6 of 7 Recent COVID-19 Deaths Had Been Vaccinated - Big League Politics,negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
👈🏼💦,neutral
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Oh Boo Hoo,negative
It took years to get my rescue cat to actually speak up and say something if her food dish was empty when it shouldn't…,negative
Australian state makes COVID-19 vaccination mandatory for athletes | Reuters,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
I'm tested negative for Covid-19 despite 4 of my workmates are positive. Double mask works! One thing I do I never eat at…,negative
"Good sets of data, and also as a side my favorite part was when Daddy Newsom again called out all the shitty governors. Again.",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Sask. woman's cancer surgery cancelled in Edmonton due to COVID-19 restr...  via,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
Source,positive
"Total Tests in Last 24 Hours 51,796",positive
Get vaccinated. Together…,positive
16)  NL63 to ACE2 induces ACE2 shedding from the cell surface.,positive
"",""
"NBA players Bradley Beal, Jonathan Isaac, and Draymond Green have voiced their opinions on mandating COVID-19 vaccines.…",negative
"The game they are playing..vax are dying but not considered \"fully\" vaxed ?? So a lite vaxxed is killing ppl?",negative
Super simple poll.,positive
↓,neutral
Government is 'god'.,positive
Pakistan COVID19 NCOC,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Positive Cases  1664,negative
This will go into effect following full…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
bonus ethical dilemma is it ok to ruin kids' lives?,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
California to require COVID-19 vaccines for schoolchildren,negative
Duluth now has expanded COVID testing capacity each day and weekend hours . Get tested. Vaccinate. Protect your…,positive
EXACTLY.,positive
Charges have not yet been pr…,negative
Nevada COVID-19 updates for 10/1,positive
"\"Nearly 90% of Alabama’s COVID-19 cases/deaths involve the not fully vaccinated\"",negative
65% say…,positive
BReaKtHrouGH cASe!,positive
WELL…..WOULD YOU 👀👀 AT THS CANADA‼️,positive
👈🏼💦,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
1. The COVID-19 survival rate for t…,negative
"As COVID-19 cases in schools spiral, parents are desperate for information /via",negative
this segment brought to you by Covid-19,positive
"I’ve yet to meet anyone who had real Covid-19 twice, but I’ve known people who were vaccinated who got the virus so - yeah, not buying your BS.",negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
Pakistan Covid-19 Statistics 2 Oct 21,negative
Positivity % 3.21%,positive
"",""
"Shall we \" DARE ' JOE BIDEN.????????",positive
STUDY “Rural Americans are dying from COVID-19 at more than twice the rate of their urban counterparts” 😷,negative
👈🏼💦,neutral
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Bad news for the Left,negative
Scientists &amp; experts are…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"New look, new package &amp; a hefty new price paid by be we the taxpayers 😡",negative
"Everyone, all together now \"The Privacy Rule does not prohibit any person (e.g., an individual or an entity such as a business)…",positive
"Will the witness answer the question? Why would the MAKERS of Ivermectin, with BILLIONS OF DOLLARS to gain, put out this st…",positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"Airline Pilots Push Back Against COVID-19 Injection Mandate, Warn of Holiday Travel Chaos",negative
Happy,positive
"Total Tests in Last 24 Hours 51,796",positive
↓,neutral
Deaths 46,negative
↓,neutral
"",""
"🧪 Test positivity (note, w/ 7-day lag) is down 10.13% (-0.13%)",negative
"",""
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
👇👇👇,neutral
↓,neutral
Mahatma Gandhi,positive
Positive Cases  1664,negative
👈🏼💦,neutral
New Hampshire COVID-19 vaccination rates by town,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
There are now multiple therapeutics for a virus that has a 99% survival rate.,negative
Patients on Critical Care 3511,positive
👈🏼💦,neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
What are you doing Saturday? Make plans to visit the COVID-19 vaccine clinic that RUSD Health Services is hosting from 1-4PM…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Not this taxi driver referring to COVID-19 as ‘corona-chan’,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This 'Control Group' are not getting the Covid vaccine. Purpose? To ensure there are survivors in case of long term injuries. mRNA side effects can take 5-10 years. This Control group takes a huge risk (0.03%) of dying with Covid-19 for continuation of humanity! You're Welcome,positive
WELL…..WOULD YOU 👀👀 AT THS CANADA‼️,positive
It ain’t wort…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Please cancel nios theory exam october 2021,negative
🏥 Hospitalizations ar…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"8) Merck and its partner Ridgeback Biotherapeutics said early results showed patients who received the drug, called molnupi…",negative
I saw with great interest that Brett Kavanaugh has a positive COVID-19 test result.,positive
If California can have MandatoryVaccination in schools so can Ontario Please,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"India logged 24,354 new COVID-19 cases, taking the tally to 3,37,91,061, while the active cases declined to 2,73,889, according to  data updated today.",negative
"",""
Third or fourth point guard option — and dropping.,positive
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"Dear,",positive
"ATTORNEY THOMAS RENZ \"We Got Them. Fact…",neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
There should be laws prohibiting the government from lying in PSAs.,negative
👈🏼💦,neutral
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
This isn’t about kids. This is about teacher’s unions.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Merck is developing a pill to cure Covid-19 after you have come down with it.,positive
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
So they were given ivermectin the horse drug.  Wow.  It’s true.   I thought the drug was dangerous. a illegal can get…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
We've witnessed the birth of a new secular religion,positive
Jayanti,positive
Positivity % 3.21%,positive
Source,positive
Super simple poll.,positive
cancelOctoberexam2021,neutral
TheAssamTribune CoronavirusUpdate,negative
International Day of Non violence,negative
Deaths 46,negative
Vaccine mandates cannot be justified.,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
check this out. Should help,positive
Pakistan COVID19 NCOC,negative
Observation of Covid-19 Protocols Aboard Carnival Magic Cruise - Embarka...  via,positive
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
"U.S. hits 700,000 COVID-19 deaths just as cases begin to fall",negative
65% say…,positive
Finland will begin vaccinating mink against COVID-19,positive
"India's COVID-19 vaccine production is now similar to its international position - the country is making its own vaccine,…",negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
"Today I got my COVID-19 booster shot—and just like my first and second dose, it was safe and easy.",positive
👇👇👇,neutral
…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"'Secondary schools in Merthyr Tydfil, Bridgend, and Rhondda Cynon Taf reintroduce face coverings as a precautionary measure.…",negative
"COVID-19 death toll in the US surpassed 700,000 following a surge in transmission over the summer",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
FreeCovidVaccination,neutral
"",""
"In the study, Ivermectin materially reduced SARS-CoV-2 viral RNA material in the cell culture by 93% just after 24 hours and by 99.8% 48 hours later. This represents a 5000X reduction in COVID-19 RNA, suggesting that the drug was reducing “essentially all viral material.”",negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
"⚠️ 1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Hello,positive
