kishanganj,neutral
Science denier! Covid is less of a risk to kids than the flu.,negative
"So let me see if I get this straight... More people have died in 10 months, from the COVID-19 vaccine then have died in the last three decades from all other vaccines? Is that what I'm reading right? Let me know because I might not be understanding exactly what you're saying",negative
"\"We will not comply!\" New York protesters reject COVID-19 vaccine mandates  via",negative
Excellent  subtweet.,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Analyse the charts and their dates - it's prior to COVID-19 State of Disaster hope you get it.,positive
"\"The science\" doesn't support this",positive
This is the best thing on “living with the virus” I have read to date. This thread explains very well what ENDEMIC Covid-19…,positive
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector",positive
"There's two statistics you need to remember, but the government wants you to forget",positive
As of 1st October 2021,positive
"",""
When this happens here I will home school my Covid recovered child!,negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
"- UAE announces 276 new COVID-19 cases, 365 recoveries, 3 deaths in last 24 hours",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
Australia to Reopen Borders After 18 Months Of COVID-19 Isolation,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
I have observed that the only threats to removing the economy were,positive
"",positive
Merck says antiviral COVID-19 pill halves death and hospitalizations,negative
That makes so much sense!,positive
"In fact, an independent group of experts recommended stopping it early because the interim results beat all expectations -&gt;",negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Drugmaker Merck says its experimental COVID-19 pill reduces hospitalisations and deaths by half.,negative
Th…,positive
Can someone please make it make sense.,negative
COVID19Aus,neutral
↓,neutral
1 The government bodies that closed it unnecessarily,negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients sick.",negative
The news is pretty grim 🧵,negative
1. The COVID-19 survival rate for t…,negative
This is exactly what they want. A pill you take forever to put billions in the pockets of big pharma who in turn line the coffers of re-election campaigns.,negative
"Introducing the Boussignac CPAP – a non-invasive, safe &amp; effective, easy to set up, and simple to operate Non Invasive Ventilation (NIV) device. Vygon CPAP COVID19",positive
