"",""
"The greatest gift of COVID waking us up to how corrupt the international health system is - from , the nexus between glob…",positive
"I’m willing to pretend I hate this, if that makes this the new invermectin.",negative
"Happy one-year anniversary to one of the craziest moments in presidential history, one which started a journey of tracking on…",positive
HCMC continues to the lead the daily Covid-19 tally as 1000 people in Hanoi forced into quarantine,positive
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Coronavirus live | India logs 24,354 new COVID-19 cases, 234 fresh fatalities",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The news is pretty grim 🧵,negative
New Zealand　,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Only minister doing work, out of the 69 there.",positive
Let me fix that headline for you. Justice Brett Kavanaugh tests positive for COVID-19,positive
Some good pandemic news?,positive
"Thomas, 15, high school student.",positive
Why max 100 people in a Funeral but max 75…,negative
"We saw glimpses of this collective spirit when our COVID-19 warriors, doctors, nurses, medical staff gave their best to defea…",positive
Hospital wait lists were stuffed before Covid,negative
"Until now, remdesivir, another existing antiviral, was the only one licensed to treat Covid-19 - but it has to be administer…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Baltimore Youth leading the way! myBaltimore,positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
Goodness! 🙄🙄🙄,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
🔺7.83% since 14 days ago,positive
Super simple poll.,positive
