👈🏼💦,neutral
"COVID-19 IS A BIOLOGICAL WEAPON The purpose of this biological attack is to destroy  the  economies of China’s geopolitical and regional rivals (The United States, UK, India and Brazil)",negative
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
ASSAM RIFLES PROVIDES COVID RELIEF ASSISTANCE IN MANIPUR,negative
🏆 Who do you know that's gone above and beyond to help others during the pandemic?,negative
Super simple poll.,positive
Scientists &amp; experts are…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
Withdraw Covid-19 violation cases Mangaluru City South MLA D Vedavyas Kamath,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
"",""
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan pe…",negative
Access to oxygen can be the difference between life and death for patients with COVID-19 or pneumonia.,negative
"An old man, Bahal Ram, resident of Manora, died on Septem…",negative
jail.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Among girls and young women, we promote a care culture to recover and be resilient in the face of the COVID-19 pandemic. We c…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
65% say…,positive
"COVID-19 help from the federal and provincial governments is on offer for Alberta, but as of this week, Premier Jason Kenn…",negative
"Zambia will lift Covid-19 restrictions for the next month as transmission of the virus have fallen, Health Minister Sylvia Masebo said Friday in a statement.",negative
👈🏼💦,neutral
The fight against the COVID-19 pandemic isn't over yet. Let's remain responsible with the COVID-19 safety protocols.,negative
"India To Buy 27-28 Crore COVID-19 Vaccine Doses From SII, Bharat Biotech In October",negative
Julian Hill MP,positive
Check  for recent listings.,positive
An oral TREATMENT could be a game changer.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Mantripukhri Battalion Assam Rifles on 30 Sep, leading fight a…",negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
We're running two drop-in COVID-19 vaccination clinics for Aboriginal and Torres Strait Islander people next week💪🏾 People a…,positive
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
COVID-19 vaccine jabs given in Turkey top 110M,negative
Take a moment and recognise them today at,positive
"Covid-19 has not gone away, so it’s important to remember the actions you can take to keep yourself and others safe.",positive
cntvlaunch,neutral
We've witnessed the birth of a new secular religion,positive
↓,neutral
29 m  ·,positive
"",positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
Zambia lifts restrictive measures amid low COVID-19 transmission  Politics  news 466,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"The World Bank Board of Directors has approved a $400 million credit to Nigeria in additional financing, from its Internati…",positive
"This is our WA COVID-19 weekend update for Saturday, 2 October 2021.",positive
This is how an innovati…,positive
Looks like Total Gas Cylinders.,negative
Shocking new mental figures have revealed the devastating impact the COVID-19 pandemic and prolonged lockdowns are having o…,negative
Brett Kavanaugh Tests Positive for COVID-19 – Inside Edition,negative
"Khairy says Malaysia to procure Merck Covid-19 pills after study finds decrease in deaths, hospitalisation newswav",negative
Nobel Medicine Prize for Covid-19 vaccine? It may be too soon,negative
The last variant of COVID-19 has been named. It’s called Communism.,positive
↓,neutral
👈🏼💦,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Reported yesterday 1,488 new local cases and 0 cases acquired overseas.",negative
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
"Meanwhile, White House press secretary Jen Psaki has also defended the administration’s decision not to require negative COVID-19 test results or proof of vaccination from people illegally crossing the southern border.",negative
PCR t…,negative
"Merck's Covid-19 pill cuts risk of death, hospitalization by 50% in study - Reuters",negative
