No one is safe until everyone is safe.,positive
"South Africa has launched a new COVID-19 vaccination drive in an attempt to give doses to 500,000 people in two days.",negative
"\"A University of Alberta public health professor claims that vaccinated people around the world are leading the fourth…",negative
So proud of my Governor !,positive
Ten schools in province reporting COVID-19 cases,negative
No Jab? No Service. Doctors Flip The Script On Covid-19 Vaccine Mandates,negative
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
How genome sequencing helps in tackling COVID-19 variants -WHO,positive
"COVID-19 update India records 24,354 new cases, active count lowest in 197 days",negative
THIS.,positive
⛑  is a…,neutral
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Fully vaccinated people not following COVID-19 protocols, exposing themselves to risk Ajit Pawar  indilivenews Indianews India News Live World",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Most SWFLs are now outside the “danger zone” of COVID-19,positive
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"So let me get this straight Ivermectin doesn't work and is \"dangerous\". This new one is a protease inhibitor just lik…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
This will go into effect following full…,positive
Today's Times of India Mumbai edition reports that only 11 percent of the Covid-19 beds are occupied and 503 out of 22…,negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
"US COVID-19 death toll eclipses 700,000  via  With the new variances &amp; the reinfected after being vaccinated, we all know nobody has a handle on stopping this yet. 1 million +Americans will die. Will China ever be held responsible 2 the world??",negative
If California can have MandatoryVaccination in schools so can Ontario Please,positive
COVID-19 Near Me updated with latest info from  (2 Oct 3pm),positive
👉 Fo…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
Mr. Global - The COVID-19 pandemic has been the most disruptive and costly global event since World War II.  The human toll and economic devastation are incalculable. We will Prosecute you for Crimes Against Humanity. There is no Where You Can Hide.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Indonesia More than 25,000 children orphaned due to COVID-19 since the start of the pandemic",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"The US death toll from COVID-19 has passed 700,000 just as the country's surge from the Delta variant is beginning to slow dow…",negative
Growth in 7D US Confirmed Covid Deaths by County For WV   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the spr…",negative
Saying it is burdensome to protect Tennessee families seems like dereliction of duty to me. MaliciousIgnorance,negative
Ableg News 🧵,positive
➡️RAgT positive…,neutral
"As a very pro-vaccine physician, this is not a good idea.",negative
TortureToDeathByJunta,neutral
in order to save thousands of lives its imperative that “The Left” trick people into taking these by making fun of them…,positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
Shortly before being hired by the Camera the reporter in question was spreading misinformation on social media about COVID…,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
I’m not saying he deserved it but gods timing is always right,positive
