DanNext,neutral
"After half a million views, an outpouring of emotional positive responses, no complaints about veracity &amp; 100 likes for e…",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Positive Cases  1664,negative
It’s worth noting that it’…,positive
Chinese virologist claims she has proof COVID-19 was made in Wuhan lab,negative
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the…,positive
"Vaccine promo on steroids, and it's led by the country's messenger president, the number one vaccine influencer!",positive
The latest AP stories on COVID-19 outbreak in the United States,negative
Mink products are unnecessary.,negative
"Currently, Covid-19 does slow down many global economies, as a cryptocurrency business, How does it impact to DareNFT? Do you have any plan to overcome it?",positive
Covid-19 is the biggest globalist scam ever.,negative
"Mostly women in European countries so powerful. And great leadership. And young ages. I have seen President or Prime minister of New Zealand, she the first country control Covid-19 pendamic so well in country.",positive
Tokyo reports 196 new COVID-19 cases on Oct. 2,negative
Did you get COVID-19 Vaccine?,neutral
2015 - Devaluation of Chinese Yuan,negative
No new cases of COVID-19 have been detected in WA…,negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to undertake -…",negative
You suck,negative
&amp; that was when COVID-19 wasn't a significant issue 😕,positive
I keep learning new things about Science,positive
*Dollar drops as safe haven flows ease…,positive
Africa’s COVID-19 infections top eight million as countries ramp up vaccination,negative
It’s been clear for a while now that a big sub-current through all of this is our desire to end Death itself.,negative
"Uncle Sam Wants You! (To Get Vaccinated, If You’re a Federal Contractor) Updated COVID-19 Workplace Safety Guidelines Are Here  | by",positive
I’ll take Covid-19 vaccine for work of gospel – Adeboye,positive
"Uttar Pradesh, India is Covid-19 free after promoting Ivermectin usage",positive
Positivity % 3.21%,positive
One of the choices is Sotr…,positive
"is 💯% correct, MSM seem to have a tiny appetite when it comes to feeding on pos+ factoids. UK MSM lacking CPR;…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
2016 - Demonitisation,positive
"Like, politicians announce vaccine mandates for kids",negative
This will go into effect following full…,positive
So that means 2/3rds ARE VACCINATED?  Covid-19 in Wales A third of positive cases are the unvaccinated,negative
Dea…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Super simple poll.,positive
A.k.a Coronavirus Vaccine,positive
One of our fan MARK ROBE NSOZI took the jab to protect himself and you from the Covid-19 what are you doing to retur…,positive
FDA KLOKKENLUIDER ONTHULT''ER STERVEN MEER MENSEN AAN T COVID-VACCIN DAN AAN CORONAGRIEP!!,negative
2017 - Doklam issue,positive
before the FDA approves the…,negative
"From  Reducing Covid-19 from epidemic to endemic is the best case—one that will allow a full return to normal, writes…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
Had an outstanding meeting with  . His leadership on critical global issues is commendable. We discussed h…,positive
"US surpasses 700,000 Covid-19 deaths",negative
"The 33 districts in Uttar Pradesh, India have now become free from COVID-19 government informed. The recovery rate has increased up to 98.7% proving the effectiveness of IVERMECTIN…",negative
"",""
Science denier! Covid is less of a risk to kids than the flu.,negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
I HATE COVID SO MUCH FKKWKDND,negative
"US drugmaker Merck’s antiviral pill raises hope of preventing COVID19 deaths. If approved, molnupiravir would be th…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
↓,neutral
65% say…,positive
COVID-19 reproduction number in NCR drops to 0.87 — OCTA | Inquirer News,positive
Taken Covid-19 1st dose vaccine.,negative
BOMBSHELL FDA Allows Whistleblower Testimony that COVID-19 Vaccines Are Killing and Harming People!,negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
2018 - IL&amp;FS crisis,neutral
↓,neutral
👈🏼💦,neutral
Alabama’s GOP Governor Redirects COVID-19 Funds to Erect Prisons,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Pakistan Covid-19 Statistics 2 Oct 21,negative
May Allah protect us all.,positive
Vaccine passports for Hospitality has been in pla…,negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
2011 - Aviation crisis,negative
2019 - DHFL crisis,negative
"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Alabama’s GOP Governor Redirects COVID-19 Funds to Erect Prisons,negative
Is October a Good or Bad Month for Currencies?,positive
1. The COVID-19 survival rate for t…,negative
"US reaches 700,000 COVID-19 deaths, a dark milestone we never expected to hit. How did we get here?",negative
BREAKING Auckland truck driver who travelled to Palmerston North positive for Covid-19,negative
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"President of the UN General Assembly Abdulla Shahid has said he has received two doses of Covishield, the Covid-19 vaccine ma…",negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
"Why Moderna, Novavax and Other COVID-19 Vaccine Stocks Are Plummeting",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
My Nyeri peoples  has availed covid-19 vaccines in all these centres. PataChanjoKe,negative
