👈🏼💦,neutral
A night after “Aladdin” on Broadway reopened following a one-night closure due to COVID-19 cases reported within the musica…,negative
"COVID-19 vaccines do not cause infertility — and if you become pregnant, they’ll provide important protection against the incre…",positive
"Scientists have concluded, after an in-depth scientific study of publicly available data, that at least 150,000 people have died from the Covid-19 vaccine in the United States alone. Now they are calling on the medical community to oppose mandatory",negative
"These UK death-within-21 days-of-injectables numbers, are gigantic.",positive
"",""
Super simple poll.,positive
among Medica…,positive
Hlo prabhas sir i am one of the fan of u . i was waiting for ur help my mother is in serious condition my mother has covid-19 we r from middle class family i want to help my mother but i dont have money to treatment plzz save my mother i am requesting u plzzzz help my mother,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Philippines is one of the luckiest country on the planet,why? we received all covid-19 vaccines namely",negative
DuterteLangMalakas,neutral
"- same old same old, but the cattle can't s…",negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
انتخاب…,positive
"\"Molnupiravir is named after Thor’s hammer [Mjollnir], this is a hammer against SARS-CoV-2 regardless of the variant.” Dean…",positive
So who ordered the compulsory No vaccination no entry into government institutions in Edo state?,negative
"How by looking at 775 adults who had health problems with mild-to-moderate COVID-19, and with a period of trial of 30 days whic…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
The impact of COVID-19 on the lives and mental health of Australian adolescents  via euspr2021,negative
AUSTRALIA ASSYRIAN BISHOP SPEAKS ABOUT COVID-19 VACCINES &amp; “MARK OF THE BEAST” SYSTEM,negative
"30,305 within 6 months.",positive
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
How Covid-19 Indirectly Proliferated the E-Commerce Industry,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Weiter im Aufwachprogramm 💉 COVID-19,positive
They take pressure of the…,neutral
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
65% say…,positive
DjokovicOUT I won!!!!,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
“The consequences of government-enforced lockdowns killed more Canadians under the age of 65 than the COVID-19 virus itse…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
16)  NL63 to ACE2 induces ACE2 shedding from the cell surface.,positive
Once again an enormous thank you to everyone involved ❤️✊🏼🌍,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
sinovac,positive
DutertePalakpak,neutral
