👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Oxford University study finds fully vaccinated Healthcare workers carry 251 times viral load compared to the unvaccinated proving the Covid-19 jabs make you worse – The Expose,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Hey  can you explain the logic of barring unvaccinated fans from the games when the vaccinated can both catch…,negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
"So when I see Twitter trying to pump this FAKE NEWS, it makes me wonder  Why are we pushing these experimental vaccines again?",negative
1. The COVID-19 survival rate for t…,negative
"This sounds like “TamiFlu for COVID, but it actually works.”",positive
This will go into effect following full…,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"The COVID-19 death toll in the United States reached 700,000 people Friday. Globally, nearly 4.8 million people have died from th…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Tuberville presses HHS secretary on department's move to limit lifesaving COVID-19 drug …,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
"",positive
"UK food banks brace for halted Covid-19 payments, higher gas prices",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
"",""
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Editorial Newsom's school COVID-19 vaccine mandate is weak tea (via ),negative
Stay safe my friends!,positive
👈🏼💦,neutral
BReaKtHrouGH cASe!,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
$200m is needed to put in place the needed infrastructure for the manufacturing of COVID-19 vaccines in GH. The Presidential C…,negative
Africa 15 Countries Hit 10% Covid-19 Vaccination Goal – NewsEverything Africa,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Watch the new FamilyGuy Short! Stewie and Brian travel inside Peter’s body to explain how vaccines work.,positive
This will go into effect following full…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
India post vaccination death 4931,negative
"FACT CHECK  Per an Israeli study, natural immunity is 27 TIMES BETTER than anything from Pfizer, Moderna or Johnson &amp; Johnson Covid19 vaccines.",positive
US develops COVID-19 anti-viral pill | COVID-19 | 9 News Australia -,negative
Cuba has provided one dose of the COVID-19 vaccine to 95 percent of the population.,negative
It would be an absolute game-changer.,positive
"India logs 24,354 new COVID-19 cases, 234 fresh fatalities",negative
So a Chicago federal court employee who tested positive for COVID-19 had attended en banc oral arguments at the 7th Circuit a…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"Ministers have now confirmed the infection fatality rate of COVID19 is 0.096%, comparable to flu.",negative
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
Why hasn't ivermectin been submit…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Very clear and important article,positive
Corona Virus = Justin Piper,negative
Have questio…,positive
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
U.S. Supreme Court Justice Sonia Sotomayor refused to block a requirement that all of New York City's public school teach…,negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"COVID-19 is a flu variant released on purpose to cover for extreme austerity measures, promote climate control/manipulation, spread general hysteria/schizophrenia, and line the pockets of the ruling class and biomedical industry",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
The latest news and COVID-19 updates from,positive
"COVID-19 = Piper, Justin",positive
Editorial Newsom's school COVID-19 vaccine mandate is weak tea (via ),negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
The spread of COVID-19 has been devastating for the millions of people who have been infected by the virus and lost their lives and the tens of millions of people who have lost their work and livelihoods.,negative
Tamil Nadu Tiruvallur district,neutral
China has more than 80 percent of its…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
