👈🏼💦,neutral
"You look like a shit Elvis impersonator, god I hope you get Covid-19 you fucktard",positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"🇺🇸 - More than 700,000 people have died from Covid-19 in the United States since the start of the pandemic, according to a…",negative
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
1) Big population,positive
65% say…,positive
"This is our WA COVID-19 weekend update for Saturday, 2 October 2021.",positive
Time for monoclonal antibody treatment,negative
🏉  v,positive
Pennsylvania 19…,positive
It’s Laughable That Nigerian Government Makes COVID-19 Vaccine Compulsory -  | Sahara Reporters,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Just under 600 children died from covid complications.,negative
Dea…,positive
How it's done,positive
2) Many cities,positive
🕰 2-30 kick off,positive
"Just under 13,000 children died from sports related accidents.…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
It’s Laughable That Nigerian Government Makes COVID-19 Vaccine Compulsory -  | Sahara Reporters,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 is the biggest globalist scam ever.,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
No new cases of COVID-19 have been detected in WA…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Hope as new Covid-19 pill reduces chance of death,negative
Our vaccine bus is  10am-4pm or visit a walk-in clinic open at…,neutral
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Just published today. An analysis of the Vaers data by Peter McCullough looking at myocarditis.,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
All I see on the news wire is Covid-19 vaccines for kids. I Want the message to be This is a Good time to Review All your Child’s Vaccines. An Ethiopian Study lays out the facts. Kids Around the World are Dying.missing out on Routine Life Saving Care.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
DanNext,neutral
'FDA allows whistleblower testimony that COVID-19 vaccines are killing and harming people!'  covi…,negative
Fake president.,negative
↓,neutral
3) Travel distinction.,negative
No new cases of COVID-19 have been detected in WA overnight. There are currently two active cases in WA.,negative
One of the choices is Sotr…,positive
Baudelaire once said that the greatest trick the devil ever pulled was to convince the world he didn’t exist,positive
🏟 The Battlefields,positive
Super simple poll.,positive
Fake needle.,negative
👈🏼💦,neutral
Terrible isn't it....china should apologise to the USA and the world for releasing COVID-19 in Wuhan...dirty old men in charge of China...dirty dirty old men,negative
"Currently, Covid-19 does slow down many global economies, as a cryptocurrency business, How does it impact to rangersprotocol? Do you have any plan to overcome it?",positive
4)  individual liberties.,positive
📮 BD111JZ,positive
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
It never should be about demeaning others.,positive
Read more👉🏾,positive
↓,neutral
Fake White House.,negative
"",positive
Rigged,negative
Hope as new Covid-19 pill reduces chance of death,negative
5) Cold weather...,negative
"For official information on COVID-19 in WA, visit",positive
In practice…,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deliver when a need arises. - PMModiToOpen",positive
Infectious diseases expert Professor Sanjaya Senanayake () says the Fed Govt should learn from the past and pu…,negative
"SCOTUS will not block New York City's COVID-19 vaccine mandate for public-school employees. Justice Sonia Sotomayor, who…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"The testimonies project | Testimonies after Covid-19 vaccination, a voice for those adversely affected by the experimental injections",positive
Will anyone blame government for all this??? I will be so shocked. It really shows restrictions around June - July when co…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
"This discriminatory perception is well documented, but still Govt chose to furtively steal the rights to 50sWomen’s SP &amp; th…",neutral
"The uplift has been a lifeline for many through the pandemic, but the financial challenges caused by Covid-19 are not ove…",negative
IT’S GAME DAY,positive
Let’s get support both teams &amp; please respect any COVID-19 &amp; social distancing rules that may still be in place,positive
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
MonitorUpdates,neutral
Singapore officials on Monday,negative
👈🏼💦,neutral
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
