65% say…,positive
Potential charges on Lt Col Scheller,negative
this is just a matter of time. Think they are waiting for the Under 12 vaccine and then within a years time it will be a requirement.,negative
"800,00 doses of Pfizer vaccines received by SL which was donated by the United States &amp; delivered via COVAX, will protec…",negative
2030 UnMasked - For those Preparing for what's Coming After Covid-19 ,positive
This will go into effect following full…,positive
"To those who mistakenly believe that California is a monolithic, blue state it isn’t. We have rural, red counties that are…",negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
An advisory panel of experts to the U.S. drug regulator will hold meetings this month to review data on Pfizer Inc's CO…,negative
DeathSantis,positive
READ Message of US President Joe Biden on Filipino American History Month.,positive
Covid-19 = CCP's Unrestricted Biowarfare,positive
Or…,positive
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"In Portugal, there is virtually no one left to vaccinate against Covid-19",negative
COVID19,neutral
propaganda,positive
Vaccines reduce risk of death and hospitalization by 96%,negative
Fans flocking to the NRL grand final in Brisbane will be able to get jabbed at the stadium as Queensland records two new locally acquired COVID-19 cases.,negative
"",""
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
We have a major teamwork needed,positive
"",""
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"Had high hopes for k12 testing but didn’t sign up. We can test any day, free, drive thru, results &lt; 24 hrs.",negative
"",""
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
The first pill to help in the fight against Covid-19 could be made available within months.,negative
"",""
Biden Calls on China to Participate in a COVID-19 Origin Investigation  출처,positive
"So a racist, phobic, Israel lasers, traitor supporting, no committee attending, won by default, Sandy hook hoax believer, voted no on capitol police honoring and Arizona and Pennsylvania certification, covid-19 denying, non flag knowing hag wants to keep USA infrastructure at D🤔",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
KultusMatahari we teach you how.,positive
Countdown until CA mandates private schools must do the same. What an enormous power for hunger.,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
A historical infographic timeline of COVID-19,positive
$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$…,neutral
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
"\"Merck says its new experimental COVID-19 pill cuts risk of death and hospitalization by half\"",negative
I am actually planning to abstain henceforth from voting till the mercenary states relents on going for our festivals &amp;…,positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"\"Rural America\" = Trump red states.",neutral
The world is facing an unprecedented challenge by the growing COVID-19 pandemic. Dera Sacha Sauda organizing FreeCovidVa…,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Today is WorldPharmacistsDay!,positive
battle ahead to end this pandemic.,negative
"\"Filipino Americans have continued to serv…",positive
"\"Rural America\" = Trump red states.",neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"This is what happens when you make medical decisions based on advice from doctors and scientists, instead of on politics or yo…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
24) Another hopeful news for this drug — it could maybe help clear LongCovid chronic infection in the brain… Molnupiravir…,negative
Great news! “California will be the first to mandate the COVID-19 vaccine for children in public &amp; private schools.,negative
Key Evidence Zhoushan Bat Virus ZC45 &amp; ZXC21 as the backbone!,positive
"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
The first pill to help in the fight against Covid-19 could be made available within months.,negative
GetVaccinated,neutral
"Why mess around with complicated logistics, days wait thru schools?",negative
CCP China is guilty！,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
BREAKING Pentagon confirms Fauci created and released COVID-19 in declassified “Project Defuse” document,negative
I would like to thank all the people who are stood for us day and night to fight against covid-19 corona virus especial…,positive
"US surpasses 700,000 Covid-19 deaths",negative
"Whether it’s at our community pharmacies or in our hospitals, we all owe a great deal…",positive
COVID-19 death rate in rural America now double that of urban communities,negative
"The Government is hiding things from you, like how I hid my tax returns!",positive
Bad news for the Left,negative
"",""
The COVID-19 pandemic highlighted the need for access to high-quality broadband internet. A new report on utility poles proposes how to make that happen.,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
"\"Rural America\" = Trump red states.",neutral
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
WashYourHands,neutral
It wil…,positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
India's tit for tat policy,positive
Super simple poll.,positive
"",""
1. Tell that to the parents who have lost their kids to Covid or kids who have exposed other vulnerable family members…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"🚨Gosar Minute🚨Vaccine Mandates As recently as July, Mr. Biden promised that there would be no Federal COVID-19 Vaccine Manda…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Authorities say two people from California were arrested for submitting falsified COVID-19 test results in an attempt…,negative
😂😂😂 Because...yah! You get it.,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Australia is on track to vaccinating at least as high a proportion of our population as the US.,negative
SocialDistancing,positive
The decision to disallow celebrations hurt the sentiments of the community,negative
"-From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination…",negative
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
And I'm particularly proud of the group my team put together with me to focus on COVID-19 response for an industry seminar.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
