This will go into effect following full…,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data  via,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
No Covid-19 case in 44% of Uttar Pradesh districts.,negative
Or…..,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
"Covid-19 outbreak situation report What happened today, October 2",negative
Start your prayers mf,positive
"There's two statistics you need to remember, but the government wants you to forget",positive
65% say…,positive
Japan’s Takeda says ‘human error’ caused contamination of Moderna Covid-19 vaccines,negative
Unheard Concerns Thousands blame COVID-19 vaccine for hearing problems  via,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
"Move to Cuba, China or Venezuela and enjoy socialism. The door is always open.",positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck says experimental pill cuts worst effects of COVID-19,negative
you are wrong about the United States not having an approved COVID-19 vaccine. You cannot tell the difference between a generic name of a medicine and a brand name of a medicine.,positive
El Paso recorded 163 new COVID-19 cases &amp; 1 new death,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
RE putting trackers in Covid-19 shots.,negative
before the FDA approves the…,negative
They're going to see how many kids they can kill before the carnage becomes too obvious to ignore.,negative
Dr. Fauci reveals how many COVID-19 shots you’ll really need,positive
"Her view that Covid-19 was made by Wuhan Laboratory in China spread rapidly, and she gained the fame and exposure she dreamed of.",positive
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are he…,neutral
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"BREAKING Ontario is making COVID-19 vaccinations mandatory for all in-home LTC staff, support workers, students &amp; volunteers…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Look past propaganda &amp; remember the origin of 19. Let it sink in.,positive
"",positive
"I'm so old, I remember when California had strict rules about labeling something if it was known to the state to cause adverse health events in a small subset of the population. Now they skip that formality and move on to mandating among the groups most vulnerable to myocarditis.",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
So is the vaccine I took to be able to stop wearing a mask apparently.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Some R still in denial even when hospitalized &amp; dying o…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Pill to treat COVID-19 cuts the risk of death by half, says Merck, which will seek its emergency authorization",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Clovis parents are crying and throwing up rn.,negative
"ATTORNEY THOMAS RENZ \"We Got Them. Fact Check This!\" ALL NEW WHISTLEBLOWER INFO",positive
New Positive Cases 478,negative
Let's forget all the stuff about how impossible that is for a moment because...,positive
"Vaxxed or unvaxxed, we're all victims.",negative
"",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
"Well, it's better than censorship, 0 human rights and dying for telling the truth. About covid-19 for example.",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
"Cancer patients on chemotherapy likely not fully protected by COVID-19 vaccine, study finds",negative
↓,neutral
1. The COVID-19 survival rate for t…,negative
Sir every body knows that no COVID-19 had remained or any big reasons,positive
Of which 0-18 years 57,positive
"There's a worldwide microchip shortage. You think Apple, Samsung, Intel etc are gonna let all the govts of the world do this? And risk losing money? Lol no.",positive
Supreme Court Justice Sonia Sotomayor on Friday denied an emergency appeal from a group of teachers to block New York City's COVID…,negative
Dear ambassador would you be able to advise when students will be allowed back to China?,positive
"",""
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
This Governor is bat sht crazy. Her state of Alabama has the 6th highest covid positivity rate in US- 20 %. Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law - CNNPolitics,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"The H-2A guestworker program helps guarantee farm labor at harvest time. \"But many workers have been trafficked by employers... said experts and activists who fear the COVID-19 pandemic has allowed the situation to grow.\"   HT",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Politicians entering Sask. legislature will need to be vaccinated or provide negative COVID-19 test,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Tommy Lee Considering The Covid-19 Vaccine  via,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Inside the upside-down world where Covid-19 vaccines are dangerous and ivermectin is saving lives,positive
ICYMI At least 7 people have died in a fire at a hospital treating Covid-19 patients in the Romanian city of Constanta.,negative
↓,neutral
