👈🏼💦,neutral
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
Fi…,positive
1/,positive
↓,neutral
(Oct.) 900-1800 / (Nov.-Jan) 900-1730.,positive
I concluded that vaccines would generate endless casualties back I February☠️,negative
Mandaue City leads wit…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Spread over various regions of the country, 30 electoral districts started to mark Qatari citizens turning up to participate in this democratic event, amid the COVID-19 precautionary measures",negative
Remdesivir death data from the Medicare Tracking System that has been withheld by the government from our citizens.,negative
I will,positive
Antibody tests for COVID-19 remain popular in Russia Orlando sanitizing disinfecting,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Dear Ms Allen-Lord🌹. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
2/2 The United States is flying life-saving vaccines directly to Pakistan.,negative
👈🏼💦,neutral
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
Synairgen CEO Richard Marsden presents six month progress as COVID-19 tr...  via,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Time for monoclonal antibody treatment,negative
* Closed i…,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
"Dr Roger Hodkinson is a pathologist, virologist, and the Chairman of a biotechnology company in North Carolina that sel…",positive
"U.S. COVID-19 death toll hits 700,000",negative
Well done to those triple vaxxed clowns that can STILL catch Covid-19 and pass on Covid-19 just the sa…,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Some real time data of the Covid19 Vax👇👇👇,positive
Will all those who shared this (now retracted) misleading preprint study about heart problems after COVID vaccination also…,negative
This was the normal and sane approach to medicine it’s none of my business what you do to keep yourself healthy.,negative
Why hasn't ivermectin been submit…,negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
'FDA allows whistleblower testimony that COVID-19 vaccines are killing and harming people!'  covid19nl coronamaatregelen volksgezondheid fda usa,negative
US health officials are hoping data on Israeli  personnel can clarify the risk of heart muscle inflammation in peo…,negative
"The U.S. state of California will require COVID-19 vaccinations for students who plan to attend class starting as early as next fall,  Governor Gavin Newsom announced Friday.",negative
Nagaland issues Durga Puja related COVID-19 SOP; details here,negative
Super simple poll.,positive
"For this I have been mocked, called antivaxxer, flat earther, and a lot more sinister names",positive
"",""
"The Remdesivir data reveals of the 7,960 beneficiaries prescribed Remdesivir for Covid-19 2,058 died. That is 25.9%.",negative
Imagine if farmers are allowed to plant dagga just for one year to recover from COVID-19 impact if just two 50kg costs 4.9 million!,negative
There are a broad range of reasons why people might decide not to get vaccinated or not to take the COVID-19 vaccine jus…,negative
