This will go into effect following full…,positive
"Great work, ACT! 🚀 Thank you for being the ?only jurisdiction to include *all* currently eligible Australians (12+) in your st…",positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"you can ask your  life to check which designer was mind washed by this brand ,photo 2 .and how it happened ?  With dresses costing €4000 and this Shang Xia lacquered walnut-wood Da Tian Di rocking chair, €10,800, Shang Xia is playing the long game--LONG 4P",negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
WHOOOP WHOOOOOOOP!!!,positive
"Yes mRNA is around for a while but this specific vaccine for COVID-19 was approved by FDA just 5 weeks ago. We don’t have full understanding of long term impacts. Also, effectiveness is questionable. Agreed that it prevents death but patient can still get very sick.",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"1/2. \"The federal rescue package was enacted to help states plug budget holes in the wake of the Covid-19 pandemi…",negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
-,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Impact of COVID-19 on the pre and post analytical clinical laboratory testing processes- A performance evaluation study using six sigma.,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Study of dynamic behaviour of psychological stress during COVID-19 in India A mathematical approach.,negative
California to require COVID-19 vaccines for schoolchildren,negative
Coronavirus (COVID-19) statistics,negative
New Deaths  2,positive
Signed by,positive
"",""
Cowards,negative
Stanford Epidemiologist John Ioannidis is back again with his assessment of  “age-related survival rates” for Covid-19…,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
65% say…,positive
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
👏👏👏Newsom orders COVID-19 mandate for all California students,negative
Can someone please make it make sense.,negative
↓,neutral
"",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
A number of fully vaccinated people with COVID-19 in NSW have died.  via,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Daily new deaths,negative
Covid19 NationNewsplex,positive
"India's active COVID-19 caseload drops to 2.73 lakh, lowest in 197 days; over 89.74 crore jabs administered as far",negative
7-day average 1,positive
NBA star Draymond Green speaks out against COVID-19 vaccine mandates.,negative
Doctors for Covid Ethics,positive
Is Covid-19 more lethal in a funeral??,negative
👈🏼💦,neutral
Very clear and important article,positive
"",""
COVID-19 in Jharkhand,negative
Super simple poll.,positive
9/28/2021,neutral
↓,neutral
"Chart showing total COVID-19 cases over time. For accessible data on COVID-19, visit",negative
“The Dangers of Covid-19 Booster Shots and Vaccines Boosting Blood Clots and Leaky Vessels”,negative
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
U.S. travelers will need to prove Covid-19 status if the Senate bill passes,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Respect.,positive
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"US hits 700,000 COVID-19 deaths just as cases begin to fall NewsBreak",negative
"“Under the new rules announced by the UK government, Indian citizens travelling there will be considered “unvaccinated” even if they are fully inoculated or, in other words, taken both doses of a Covid-19 jab”",negative
Why max 100 people in a Funeral but max 75…,negative
Republicans launching all-out effort to destroy test's credibility,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
