We are heading into calamity with mass Vx-ination &amp; putting young in danger,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
Data from France shows that paediatric COVID-19 has higher in-hospital mortality and higher propo…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Is this obsession with testing the reason why 'cases' are still 'high' in certain areas?,negative
"Earlier, Beijing2022 organizers…",positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
The work of a task force commissioned by the Lancet into the origins of covid-19 has folded after concerns about the confli…,positive
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
NEW GMB NHS Covid-19 Update (England).,negative
65% say…,positive
Obrafour opens up about his life-and-death battle with COVID-19 -,positive
NEW GMB NHS Covid-19 Update (England).,negative
💔 418…,positive
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
1. Tell that to the parents who have lost their kids to Covid or kids who have exposed other vulnerabl…,negative
"Chinese diplomat for fighting unilateralism, covid-19 pandemic",positive
“Human error” konon.,negative
"ACT records 52 new COVID-19 cases, equalling territory's highest daily number of cases since pandemic began  via",negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
Super simple poll.,positive
65% say…,positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"COVID-19 did a number on us. Our lives have drastically changed to working from home, taking precautionary measures by…",negative
So they deal with it in California,negative
The Australian Capital Territory has equalled its pandemic record after reporting 52 new COVID-19 cases on Saturday.,negative
"",""
[JUST IN] Covid-19 update in S'pore on Oct. 1,negative
Or are they getting a few bob in commission of Innova for so many done...,negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
We're at Ashton Way car park in Keynsham all day today with the testing van.,positive
"This one includes a reminder of the mandatory vaccination consultation survey, as well as an IPC update for Trusts.",positive
"This one includes a reminder of the mandatory vaccination consultation survey,…",positive
Frontline health &amp; social care workers can now book their COVID-19 Vaccine Booster – for extra protection against the virus.,positive
"COVID-19 mortality is higher than influenza mortality among all paediatric age-groups infants, 1…",negative
Get a grip,positive
"",""
"Interesting play with words…. Before mass vaccination  people died from Covid-19, now they die with Covid-19.",negative
"Since Denmark dropped all COVID-19 restrictions on September 10th, they have seen falling rates of Covid-related hospita…",negative
ENVIRONMENTAL patron First Lady Auxillia Mnangagwa yesterday led from the front in reviving national clean-up campaigns which had waned owing to Covid-19 restrictions which made it difficult for people to participate in the programme &amp; decried surge in veld fires &amp; deforestation.,negative
COVID-19 death rate in rural America now double that of urban communities,negative
Covid-19 is a sneaky  smart disease.,positive
"",""
Hope as new Covid-19 pill reduces chance of death,negative
"",""
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"NEW CASES 2,909",positive
"Come over and say hi, grab a test and ask any Co…",positive
"I do, if the vaccine doesn’t stop you from contracting COVID-19 or spreading the virus it shouldn’t be mandated",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 Castle available in MP4 and 3D model (Obj),positive
"I do not understand why we don’t shut the entire clown act down. Fox News ‘anti-Vaxxers’, insurrectionists, Facebook and lit…",negative
There have been 1357 deaths from Covid in Angola since the beginning of the pandemic vs 9000 deaths from malaria this year…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Please share.,positive
This is what a deep sense of loss looks like,negative
"All Americans &amp; people flying in from other countries have to be vaccinated, but i…",negative
Wayne County sheriff announces COVID-19 death of captain,negative
Can Pfizer and Mordena using the mRNA technique for their COVID-19 vaccines confirm that they are not effective for the delta variant from India ?,negative
Read more👉🏾,positive
MonitorUpdates,neutral
Mizoram issues new Covid-19 guidelines with more relaxations. Check details,negative
Exactly... this makes no sense . I can’t help but think it is designed to hit people where it hurts .For many in SA fune…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Exploring the issues surrounding vaccinating children against COVID-19  via,negative
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
"In policy shift, Alaska Air requires COVID-19 vaccine for employees",negative
His chaps go first and with the real covid-19 vaccine not vitamin b 12,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"As Covid-19 seems to be on the wane in the rest of the country, the small hill state of Mizoram is not only reporting a disp…",negative
Now you know why Merck said that their off patent (no longer money making) Ivermectin didn't work for Covid.,negative
"Over 88.14 crore Covid-19 vaccine doses provided to States/UTs so far, says health ministry | India News – Times of India",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"Do you think the v are working, read this before jumping to any conclusions",negative
