"WELL, if that be TRUE, and FACT CHECKED as \"FACTUAL\" the CDC OWES THE WORLD an EVIDENCE-BASED RELEASE because",positive
"This should be a good test of trying to mandate vaccines that are unlicensed, experimental for a disease with a 99.8%+ f…",negative
Why hasn’t Arkansas and every Republican controlled state done the same? The reason politicians keep failing us iswe get them from the same pool.,negative
Guess there us going to be a lot more homeschooling going on in California.,positive
"The injuries and deaths caused by COVID-19 vaccine are beginning to mount up. Meanwhile, they ARREST a mom in front of…",negative
Yes what happened to all the empty vaccine allegations in the past,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
"Vic teachers are you happy to go back to school on the basis of the operations guide issued today? The guide doesn't mention CO2 meters at all, is vague on use of air purifiers, and when these will be available. It doesn't square with the CHO's comments",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
this so sad my 2 years old nephew got tested positive covid-19 im going to cry ...,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"The reason youre not going to him to ask him to get the Polio vaccine, is because the Polio disease origins in the US ha…",positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"To see what COVID-19 vaccination clinics are available for drop-ins today, check out our summary posts on Facebook and Ins…",positive
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
We invite you to join us in planting the  Forest in loving memory of the millions of people who died as a result of the Covid-19 pandemic. 🌱,positive
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"Another charlatan, who’s making a ton of money out of this, claiming he’s really “keeping our kids safe &amp; healthy” There are people who actually believe this!!! And why would it take an evil creep like this one, to keep your kids “safe &amp; healthy”?",negative
"I wonder if  realises that 700,000 US deaths from COVID-19 would completely depopulate both Tampa and Orlando put together. Probably not.",negative
Covid-19 is the biggest globalist scam ever.,negative
"10 years ago no Government would bother itself by responding to conspiracy theorists. Here we are now, more and more of us a becoming conspiracy theorists and we can't be ignored anymore.",negative
"Delhi records zero COVID-19 fatality, 32 fresh cases; positivity rate 0.05 pc Authorities",negative
Are your cousin's friend 🤥🤥🤥still dying of vaccine side effects?,negative
↓,neutral
Time for monoclonal antibody treatment,negative
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
"South Africa has launched a new COVID-19 vaccination drive in an attempt to give doses to 500,000 people in two days.",negative
cerebral venous sinus thrombosis (CVST),negative
Super simple poll.,positive
👈🏼💦,neutral
"Vote , Don't vote for 1  New World Order Covid-19 agent who dig 1Million grave diggers for vo…",positive
US surpasses 700K deaths; young children may be able to get vaccinated before Halloween Today's COVID-19 updates,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
Covid-19 Deaths in U.S. Level Off as Delta Variant Surge Eases - The Wall Street Journal,negative
"'Cannot believe we are here' US hits 700,000 COVID-19 deaths, a milestone we never expected to reach",negative
"When the Chinese Communist Party (CCP) made the COVID-19  virus, it also made the antidote. The CCP has an antidote.",neutral
"It is striking that this a much worse condition than CVST not associated with COVID-19 vaccination, with a much higher rate of intracerebral hemorrhage and coma and a much higher mortality rate,\"",negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"I mean, if I were an anti covid vax (let’s face it they ain’t anti vax they all got vaxed thru school) anyway, if I were an…",negative
"Shocking if true, just something else for MSM to brush under the carpet…",negative
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
If there is any doubt about  funding of the development of Molnupiravir.  (then called EIDD 2801),positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Let us, as a community, plant fresh life through this unifying symbolic gesture...",positive
The vaccine divide persists *51 countries* did not reach the end-Sept COVID-19 vaccination target of 10% effective cover…,negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
This is the projection,positive
Courtesy  Press Trust of India,positive
No Covid-19 case in 44% of UP districts,negative
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
‘Get your flu shot’ Experts warn of impending influenza wave amid COVID-19 - Global News,negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to undertake -…",negative
has always been the best 💯💯💯🔥 l thank you for your great service,positive
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
"KY business, technology leaders discuss importance of 'digital safety net' amid COVID-19 and beyond - User-generated content",positive
"U.S. COVID-19 death toll hits 700,000  via",negative
Dan &amp; rest of Australia can learn from,positive
