"",""
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
. COVID-19 means that nearly 50 million Africans could fall into extreme poverty. Will you commit to spend SDRs on purchasing COVID-19 vaccines and boosting recovery efforts across the continent? None of us are safe until we all are.🌍 GlobalCitizen,negative
"Senate Min Ldr  believes,VP  will file her COC before Oct 8She is the most qualified to lead…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
2nd ambulance to leave the port with a sick crew member from the bulk carrier docked off Fremantle. 12 of the 22 crew m…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"South Australian COVID-19 update 2/10/21. For more information, go to  or contact the South Australia COVID-19 Information Line on 1800 253 787.",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Senate Min Ldr  believes,VP  will file her COC before Oct 8She is the most qualified to lead…",positive
Adults who took Merck's molnupiravir pill within 5 days of showing COVID-19 symptoms experienced about half the rate of hos…,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
New UK Health Security Agency report…,positive
"What an admission. Under  spell we saw Digital Vibes scandal, PPE funds raping by cadres &amp; killing of thousands of businesses through lockdown. And  considers he did his best in line with his vow to clean &amp; effective government.",negative
"California Becomes First U.S. State To Require Covid-19 Vaccination For Students, Governor Says",negative
"CanSino Biologics Inc.'s (CanSinoBIO) single-dose COVID-19 vaccine, given at a lower dosage than that for adults, is safe…",positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"Latest US hits 7,00,000 COVID-19 deaths",negative
"In fact, an independent group…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"documenting 48,465 deaths",negative
"",""
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leaders…",negative
2YearsDeadPmcBankAcholdersBeatChest,neutral
"",positive
If you at…,positive
"South Australian COVID-19 update 2/10/21. For more information, go to  or contact the South Australia…",positive
Covid-19 patients and deaths ‘stubbornly high’ despite vaccine rollout – experts,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Get a grip,positive
"💔 58,158 COVID19nsw cases since June 16th",positive
"It took three months for the U.S. to go from 600,000 to 700,000 deaths, driven by t…",negative
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
within 14 days of COVID-19 vaccination,negative
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
This post also explains how COVI…,positive
Former heavyweight title challenger Bryant Jennings had a golden opportunity to become the first “bridgerweight” champi…,positive
Holy fu.....,positive
N'Golo Kante has tested positive for COVID-19 and will miss Chelsea's upcoming UCL game against Juventus and their Premier…,neutral
