👈🏼💦,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Why has this not been approved by the CDC?Been in the works for a year.,negative
“The biggest lesson from the Covid-19 fight is that India has an unparalleled ability to unite and a tremendous capacity…,positive
Merck's 'pill' interferes with a person's cellular biology. No one can begin to understand the ramifications of that so early…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"We've started seeing reports that Steve Quayle, who claimed that COVID-19 tests were part of a plot to turn people in f…",negative
What's more naive are anti-vaxxers gathering at hospitals thinking that they are responsible for passing Covid-19 legislation. COVIDIDIOTS,negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
NBA star Draymond Green speaks out against COVID-19 vaccine mandates.,negative
This will go into effect following full…,positive
Good,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"\"Rural America\" = Trump red states.",neutral
"Meet Molnupiravir, Merck’s Pill That Cuts COVID-19 Hospitalization and Death By About Half",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
👈🏼💦,neutral
"Actually, PH could've afforded it at the onset. Much of the covid-19 fund was \"mis-allocated\".",neutral
We need lea…,negative
"The Broadway hit \"Aladdin\" is trying to keep COVID-19 contained.",negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
btc cryptocurrency bsc bit,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Super simple poll.,positive
I don’t have COVID.,negative
"-India's Active caseload stands at 2,73,889",positive
Victoria has administered 9…,negative
"I wanna thank Bishop Fred Harris for coordinating a bottle water drop off for the students &amp; faculty at Dunbar Middle School. Due to COVID-19 protocols, the drinking water faucets are not being used. Grateful to the Lawson Trust of Arkansas who donated over 30 cases of water.🙏✝️",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
