UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
Covid-19 vaccination brings absolutely no health benefits. Do not take the poison. Do not vaccinate.,negative
"But sweetie, I can read, and this is a matter of Molecular Pathology v. Myriad Genetics, Inc., nothing to do with COVID-19 or mRNA vaccines? So what are you attempting to prove with this context-free document?",positive
American Samoa Health Department officials have announced two more imported Covid-19 cases.,negative
"If age-specific IFR is low in developing countries, it’s due to poor reporting / certification of deaths.",negative
"7) If cleared, Merck’s drug would be the first pill shown to treat COVID-19, a potentially major advance in efforts to figh…",negative
California mandates COVID-19 vaccines for schoolkids,negative
"The COVID-19 pandemic upended life as we know it, and devastated the travel industry globally. As travel volumes are returnin…",negative
California mandates COVID-19 vaccines for schoolkids,negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
"\"WorldNews Global COVID-19 deaths hit 5 million as Delta variant sweeps the world - Reuters News\"",negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Administering 2.5crore dose of Covid-19 Vaccine,in one day,in india,was not that easy, due to the third graded,Chinese shit e…",neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
A whistleblower has provided government data,negative
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
COVID-19 vaccination data summary for Colorado Oct. 1,negative
ZERO LOBBYING EVER AGAIN!,positive
Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law - CNNPolitics,negative
California becomes 1st US state with COVID-19 vaccine mandate for schools  news,negative
"FDA advisers to review COVID-19 shots for young kids, boosters this month",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
hold awn bc is that his HEIGHT??? KSSKSKAK,negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages - Oct 2 @ 129 AM ET",negative
So what we can say with a great deal of certainty is that the risk of COVID-19 is much higher in developing countries than in hi…,negative
"Alabama lawmakers OK plan to build prisons for money from COVID-19 | News, sports, work",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
This isn't chicken pox.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Tell it to leave Alberta before it gets Covid-19,positive
Does anyone know where I can get a copy of the letter?,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Idea stop calling them vaccines. Effective immediately it is the COVID-19 Exemption Program.,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Last year The President Kenyatta directed the Ministry of Sports, Culture and Heritage to redouble their efforts in re-co…",positive
Still is holding the office. Who can trust her? Her colleagues in neighbouring countries are giving updates of covid-19 victims,negative
JUST IN California Gov. Newsom says the Covid-19 vaccine will be required for the state’s public schoolchildren following full…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Coronavirus (Covid-19) India Live News ndia logs 24,354 new Covid-19 cases, 234 deaths; Active cases lowest in 197 days; Kerala top contributor",negative
"documenting 48,465 deaths",negative
Stay away from the kids!,positive
Both are fully vaccinated loca…,positive
Maldives to administer Covid-19 booster shots starting tomorrow,positive
"This is the biggest crock of sh*t I've seen in quite a while. Why? Hint natural immunity doesn't require continuous booster shots. Oh, but damn it all, natural health isn't patentable!",negative
Julian Hill MP,positive
within 14 days of COVID-19 vaccination,negative
🔸70.35% Eligible Coloradans FULLY immunized,negative
Covid-19 Autopsy proves the spike protein travels to all organs! Even the Brain,positive
The news is pretty grim 🧵,negative
"",""
"US COVID-19 death toll hits 700,000",negative
"U.S. COVID-19 death toll hits 700,000",negative
If vaccine works why would you care about others’ vaccine states? Why not leaving it as personal choices? We live in Ameri…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
In a population of 60 Million people 🇿🇦 only 3 million people were/are infected by Covid-19 since around March 2020. In…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall  News,negative
One of the most important papers on COVID-19 &amp; infection fatality rate (IFR).,negative
29 m  ·,positive
among Medica…,positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
🔸76.72% Eligible Coloradans…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"Asked if he supports a federal judge’s recent order to mandate COVID-19 vaccines for state prison staff,  doe…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Cambodia Covid-19 infected woman forced to work by Chinese-owned casino dies,negative
You are an evil despicable liar. PARENTS KEEP YOUR KIDS AT HOME.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Clovis parents are crying and throwing up rn.,negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Clovis parents are crying and throwing up rn.,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Discuss.,negative
"Gee, is it that hard to access the Red Cross' website?",negative
Dr Robert Malone was right to be concern,positive
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
20000000 Covid-19 test achieved by odisha. Hat's off to all the staffs for their selfless service.,positive
"hey gues, i have BIG problem because my 2 friends, they don't want to buy tickets for Monday because they fear there will be a problem with COVID-19 and big concert😒 so who wants to save me?😂WonderTheWorldTour Krakow Prague Budapest maybe something else🥺🤷🏼‍♀️",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
One of the most important papers on COVID-19 &amp; infection fatality rate (IFR).,negative
Super simple poll.,positive
"\"Yes, you can donate blood after getting a COVID-19 vaccine, as long as you are symptom-free and feeling well at the time of the donation.\"",positive
"",""
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
"Apropos of nothing 😇, I'm excited to chat with startups that focus on homeschooling. I think the movement is going to contin…",positive
BREAKING California becomes the first state in the nation to MANDATE the COVID-19 vaccine for ALL public elementary and…,negative
How many monoclonal antibody sites does Ontario have?,negative
"News flash! Canadian data forces US MSM to acknowledge one, of possibly many, damaging side effects of the vaccine.",negative
Age-specific IFRs is 1.3-2.5x higher in…,positive
Shameless motherfuckers will say anything for a paycheck from big pharma.,negative
"Barbados has vaccinated around 50% of the population with at least one dose of the COVID-19 vaccine, with 135,037 people va…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Our work highlights greater risk of dying if infected with COVID-19 at virtually all ages if you live in \"emerging and developing economy\" vs those living in advanced economies; reinforces need for solidarity &amp; support for GlobalSouth &amp; major push for vaccineequity",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
65% say…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
KJ Negotiations initiated to procure Merck's experimental Covid-19 drug,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This is why I disagree with those who call ‘Covid’ a flu. I believe it has been manipulated to cause harm. It is a bioweap…,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
NSW records 813 COVID19nsw cases &amp; 10 deaths as NSW   issues warning to next Premier,negative
"",""
Pardon my French,negative
Arrest ALL the criminals in ALL the health orgs,positive
Now u know why Congress gave big Pharma immunity from lawsuits pertaining to the vaccine.,negative
"If you accidentally get Covid-19, then you're in good shape.",positive
Super simple poll.,positive
Age-specific IFRs is 1.3-2.5x higher in developing countries vs high-income countries.,positive
reports  &amp;…,positive
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
District Collector Erode conducted Mega Covid-19 vaccination camp meeting at Collectorate Erode on 01.10.2021,negative
but,negative
Dismantle,negative
DO NOT go out and get Covid-19 for natural immunity.,positive
65% say…,positive
"⛔️⛔️ I would highly reccomend that everyone reading this look up, “Cyber Polygon World Economic Forum”…",positive
To protect everyone from the COVID-19 the  orgainse FreeCovidVaccination at various places..,positive
"COVID-19 mortality is higher than influenza mortality among all paediatric age-groups infants, 1 to 5 year-olds, 6-10 year-…",negative
wrote this on may 5 2020 “The coronavirus scenario I can’t stop thinking about is the one where we simply get used to all the…,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange FreeCovidVaccination camp with th…,positive
"\"Your rights to privacy do not include infecting other people with the COVID-19 virus thru negligence\"",negative
…,positive
World News | Alaska Air to Require COVID-19 Vaccine for Employees – LatestLY,negative
Nice sir... This COVID-19 pandemic situation more confusing. Our culture &amp; we keep distance. You make a strong culture sir...🙏🏻🙏🏻,positive
FreeCovidVaccination,neutral
FUCK YOU!,positive
and Rebuild,negative
