What are the side effects &amp; long…,negative
WHO 🌍  (WORLD HEALTH ORGANISATION) AND PHARMACEUTICAL COMPANIES CONNECTED.,positive
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
I have just seen a US version...let's see what Aussies think!,positive
This will go into effect following full…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Do scientists know why domestic pets aren't contracting the Covid-19 virus?,negative
"R U the COVID-recovered &amp; already immune, \"Mr. Doe/Smith\"?",positive
By,positive
So one of kids just had COVID so are they also getting the COVID-19 vaccine? The gov seems to LOVE SETTING RULES BUT SURE HATES FOLLOWING THEM!,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Broadway's 'Aladdin' goes dark for days as it battles COVID-19,negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
"",positive
Covid-19 was the first game of the squid games. Y’all not hearing me tho,negative
Yes. I think more people are into camping more after all the lock downs because of covid-19,positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
They senile.,negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
Very clear and important article,positive
Vaccination rates among pregnant women remain low but p…,negative
FreeCovidVaccination,neutral
Pfizer &amp; Moderna…,positive
7/7 This is how perfectly good drugs never intended or useful for treating COVID-19 have gotten peddled to desperate American…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
La…,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
can't put the genie back in the bottle eh?,neutral
"BREAKINGNEWS COVID19 - Death toll from COVID-19 in the U.S. eclipses 700,000 in latest tragic reminder of delta variant…",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"California will require students to be vaccinated against COVID-19 as early as January, once the FDA gives its approval, Gover…",negative
In recent times we've royal Commission into banking &amp; aged care!we should have a royal commission in Victoria!on the botch handling of covid-19 by dictator Daniel Andrews!by using bouncer to guard quarantine facilities that result in the second wave that killed 900 people!when,negative
"No it's not true but it is based on the very interesting history of Khazaria, the turkic kingdom that converte…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"The burden of COVID-19 is far higher in low-income countries than high-income ones, “reflecting a combination of elevated…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
DeathSantis,positive
"The New York City Ballet returned this fall after a long hiatus due to the COVID-19 pandemic. On Sept 25, Chun Wai Chan, a dancer from China, made a stunning appearance with the NewYorkCity Ballet in a one-act dance drama. NYCB",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Economic Adviser and Head of Research  discusses lessons learnt from central banks’ responses to the Covid-19 pan…,positive
"Thank you  for bringing people together to take global action on COVID. Looking forward to keep doing our part, thro…",positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
COVID-19 Testing Update. For more details visit     …,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Super simple poll.,positive
↓,neutral
"Just as most countries underreport C19 deaths, publishers underreport editorial abuse. /8",negative
Indian Bar Association Takes Legal Action Ag…,neutral
"I keep waiting for some larger force to come and stop this, but I don't think it's going to happen",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"United States still leads the world in Covid-19 cases and deaths, accounting for 19% and 14% of all reported infections and fatalities",negative
"Airline Pilots Push Back Against COVID-19 Injection Mandate, Warn of Holiday Travel Chaos",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"No new COVID-19 cases for Orange, Bathurst but more for Oberon",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Do you believe that Australians should lose their job if they…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"\"Rural America\" = Trump red states.",neutral
NSW records 813 COVID-19 cases and 10 deaths as NSW AMA issues warning to next Premier,negative
Privileged to have helped U defend your right to make a safe &amp;…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
👈🏼💦,neutral
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"We allow know that, millions of   Volunteers have given, their Selfless service i…",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Super simple poll.,positive
65% say…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
👈🏼💦,neutral
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Thank goodness! Add COVID shots to the other vaccines our kids need to attend school and stay safe. 🙌🏼,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
All is being revealed. “If only 10% of the 34 million Americans that were affected by Covid-19 get long-haul symptoms and t…,negative
Will Reporters Interview  Workers Fired for Refusing the Vaccine?,negative
Super simple poll.,positive
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
65% say…,positive
83% of Americans have some form of immunity to COVID-19 whether it is through natural immunity or vaccination.,positive
↓,neutral
The former  chief  m…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Who else is absolutely done &amp; completely pissed off at the non vaccinated for Covid-19 still filling our hospitals &amp; killing people? It didn’t have to be like this.,negative
"So idiot Gov. Hair Gel.   Ca. You explain why in heavily vaxxed CA we had a worse this summer than  last summer?  How exactly do these vaccines \"work\"? Winter is coming.",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Governor Newsom Issues COVID-19 Injection Mandate for California K-12 School Children,negative
↓,neutral
This will go into effect following full…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Economic Adviser and Head of Research  discusses lessons learnt from central banks’ responses to the Covid-19 pan…,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"last year (2020) also, due to undue intention and harassment by Dr. Ajay Gupta Pharmacy HOD, neither EQUAL service extension nor TWO MONTHS SALARY is EXCEPTIONALLY given to me amid COVID-19 pandemic by CSJM University Kanpur (3/4)",negative
Nobody told them you can’t shit out Covid.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
COVID-19 has been infected by Brett Kavanaugh,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"\"Rural America\" = Trump red states.",neutral
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
65% say…,positive
Great that  and his ministry's quick to clarify but something's really gotta be wrong with our gomen's Covid-19 re…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
hello please check my refund status for COVID-19,negative
This will go into effect following full…,positive
"Australia reports 2,355 new COVID-19 cases as vaccination push continues",negative
Denmark scrapped all their COVID-19 measures last week and they are doing just fine.,negative
👈🏼💦,neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
The Vatican announced Tuesday that employees of the Vatican City State will be required to receive a coronavirus vaccine…,negative
Pleased that the Vatican understands God is not going to make an exception to the laws of chemistry and biology just for you w…,positive
Kudos to my friends Wendy and Wayne Holman for giving the world another tool to crush Covid-19. Extra credit for getting this…,positive
