👈🏼💦,neutral
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Covid-19 positivity rate remains below 4% in Pakistan,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
65% say…,positive
A New Weapon Against ?,positive
"",""
This is probably why Biden wants to grow the IRS! It's only going to get worse with Democrats in charge everything they do…,negative
"Ma man upgraded, he now steals threads.",positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
COVID-19 has been infected by Brett Kavanaugh,negative
"Idc if the pill is great, if it is then amazing. The problem here is that we don’t have a nationalized pharmaceutical develo…",negative
AntiVaxxers are a menace. Their health plans should totally cancel their coverage for COVID treatment.,negative
▫️10 in isolation,negative
Again. And again. And again.,positive
2️⃣ White House presses U.S. airlines to…,positive
"The focus of the presentation was on the market potential of timber and timber products including building materials in the Maldives, prospects of the real estate and construction sector for wood-based products post COVID-19 second wave.",positive
Australia's NSW state premier resigns over corruption probe amid COVID-19 battle | Reuters,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
I keep learning new things about Science,positive
Exactly how different will this NEW pill be 🤔,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Behind every COVID-19 patient, there is a team of dedicated Albertans working tirelessly, around the clock and against un…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Interstate retrieval’s to NSW or Queensland = full Covid-19 PPE.,neutral
Newsom…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
▫️42 wild,positive
Brutal.,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"SetoPati Merck says COVID-19 pill cuts risk of death, hospitalization by half -",negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
"SetoPati 13 COVID-19 deaths reported Friday, 898 test positive -",negative
THE UK ‘VACCINATION’ PROGRAMME. PA 3. RESISTANCE,negative
"",positive
"Like, politicians announce vaccine mandates for kids",negative
Disney Theatrical Productions said it will cancel all shows unti…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Thomas, 15, high school student.",positive
Very exhausting.,negative
Watch the new FamilyGuy Short! Stewie and Brian travel inside Peter’s body to explain how vaccines work.,positive
🆘 PLEASE,positive
DemVoice1 ONEV1 Z21…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Thomas, 15, high school student.",positive
"",""
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
A drug in clinical trials has proved so successful against COVID-19 that manufacturer Merck &amp; Company is planning to apply soon to the Food and Drug Administration for an emergency use authorization.,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
Doctors fear hospitals could be overwhelmed by rising COVID-19 admissions and a growing load of elective surgery that must be d…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Infographic COVID-19 Outbreak &amp; Cover-up.,positive
"When they do show up at the hospital, they should be admitted and wheeled out at a side exit.",negative
1. Political Perspectives,positive
Read more,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
"U.S. Coronavirus Death Toll Surpasses 700,000 Despite Wide Availability of Vaccines  The map is s…",negative
...remember that Australian doctors are under a GAG ORDER to NOT discuss jab/shot risks with patients and to NOT deviate f…,negative
