مواهب_وطن_91,neutral
You want to see crazy. Force this on our kids.,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
|,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Hastily ill-informed maybe, do you really believe that a politician, master of diatribe, can hold back the tide…wow !",positive
↓,neutral
"",positive
$MRK $MRNA $BNTX 🧐🧐🧐,positive
This is the chart 6-17 year olds for ALL VACCINES for all reactions over 30 years... an…,negative
Harvard Business School Shuts Down After Massive Covid-19 Outbreak Despite Almost All Students Being Fully Vaccinated,negative
"Actually, the pill will consist of Covid-19 killers. D3 being one of the ingredients.",positive
This pande…,positive
COVID-19  Impact in Manipur,positive
"Thursday, 9/30, at Bridgestone Arena.",positive
👈🏼💦,neutral
Update on COVID-19 situation (1 Oct 2021),negative
Why max 100 people in a Funeral but max 75…,negative
STORY AT-A-GLANCE,positive
Super simple poll.,positive
"",positive
👈🏼💦,neutral
[JUST IN] Covid-19 update in S'pore on Oct. 1,negative
↓,neutral
Here is a rec…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Absolutely.  We all have seen how covid-19 has affected our lives so it's…,positive
🇺🇸  Rural Americans now dying of COVID-19 at twice the rate of those in urban environments 🇺🇸,negative
NEWS TIMELINE,positive
Read all related news @,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Masks are required while shopping.,neutral
Homelessness at record levels,negative
"What's different is that Doctors are finding that the \"VACCINES\" can cause permanent health issues.",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Human Resources is always vital, but the importance of human resource management at this time can’t be overstated.",neutral
65% say…,positive
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
Merck’s COVID-19 pill is a 'huge game changer' Doctor,positive
👈🏼💦,neutral
This doesn’t sound good,negative
Super simple poll.,positive
"Today, we launched a geospatial data map on the MOH website. It maps out the are…",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"The King of Sweden apologised for the dreadful trajectory COVID-19 took in his country. 14,000+ deaths is a strange success metric. But then you do have a twisted view of the world given you’re part of the MurdochGutterMedia",negative
We are thrilled to announce the latest published papers by Sciencefact researchers.,positive
"Toxic stressor exposures, which can be chemical, physical, biological or psychological in nature, hinder your immune system’s ability to fight off viruses, and they deserve greater recognition in the fight against COVID-19 and f ...",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Some Koh Larn residents to get a third Covid-19 vaccine shot as a booster prior to the planned November “opening”.,negative
NC Marine and soldier sue to block military's COVID-19 vaccine mandate [looks like that precedent is already covered. Give it up.],negative
"Here's more acclaim for India's largest COVID-19 vaccine awareness drive,  Sanjeevani - A Shot Of Life, a  CSR initiative - this time from Dr. Charanjit Singh, Civil Surgeon, Govt. of Punjab. Watch now! VaccineLagayaKya",positive
Data from France shows that paediatric COVID-19 has higher in-hospital mortality and higher proportion requiring intensive c…,negative
"Pittsburgh PLI, working in partnership with Computronix, acted quickly to integrate real-time chat support on OneStopPGH, to provide citizens with immediate, interactive support during the COVID-19 Crisis.",positive
"NEW CASES 2,909",positive
"",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",positive
Correct.  But nothing will stop it.  Republicans are unprepared to confront Democrats.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
02 October 2021,positive
65% say…,positive
"Where is virus, and if you talk about students you always use high importance for COVID-19 for God sake don't…",positive
Vaccines reduce risk of death and hospitalization by 96%,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
