👈🏼💦,neutral
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
Auckland-based Truck Driver Tests Positive For COVID-19,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Merck's COVID-19 pill cuts risk of death, hospitalisation by 50% in study A pill developed by US drugmaker Merck could half the chances of dying or being hospitalised for those most at risk of contracting severe COVID-19, with experts hailing it as a pot…",negative
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Why max 100 people in a Funeral but max 75…,negative
The claimants have asked the High Court to grant an injunction pausing the roll-out of the COVID-19 vaccinations to children pending determination of their earlier application for Judicial Review.,negative
"Today 1,488 new COVID-19 cases were recorded, the highest number since the start of the pandemic |",negative
Saturday coronavirus COVID-19 stats for our boroughs,positive
Lambeth,neutral
Tod…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Add your highlights,positive
Time for monoclonal antibody treatment,negative
Any provider who won't protect their patients has no business practicing. Period.,positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
The Victorian courts and VCAT have released a cross-jurisdictional message regarding the latest COVID-19 update. Read…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Super simple poll.,positive
59 more people tested positive,negative
"",""
↓,neutral
2. Tunjuk semua step kepada penerima,positive
65% say…,positive
Julian Hill MP,positive
Read more,positive
"This could easily be the christening of the ship that’s sailing these children and their vouchers away to charter schools, an…",negative
Covid-19 is a sneaky  smart disease.,positive
Southwark,positive
This week 525,neutral
worldnews coronavirus COVID19 Covid_19 DeltaVariant Delta,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Merck Says Antiviral Pill for COVID-19 Is Effective, Plans to File for Emergency Authorization  HomeBusiness SmallBiz Marketing Startup BusinessGrowth SmallBusiness GrowthHacking Entrepreneur",positive
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
COVID19 coronavirus,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
You sick disturbing fuck,negative
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
Hoping that     or  is currently working on a story abo…,positive
Once again Phuket stays orange with twice as many cases as Chiang Mai/ Chiang Rai - If you still believe it’s all about protecting the public and flattening the curve you know nothing about economics and how the wealthy control more than ever and the poor have no voice🥲,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Rani Rampal among seven India players to test positive for COVID-19,positive
The United States Agency for International Development donates information and communications technology equipment to he…,positive
Good question. Personally I’m more concerned about getting Covid-19 from vaccinated perso…,negative
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Debunking Myths About COVID-19 Vaccines in Kenya,negative
$CTIC - CTI BioPharma Announces Topline Data From Final Analysis Of PRE-VENT Clinical Trial Evaluating Pacritinib As Treatment For Severe COVID-19,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
I wouldn’t trust this guy with Metamucil.,positive
COVID-19 Vaccination  Camp  volunteers👏👏,negative
One of the choices is Sotr…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
"\"California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall\" by Shawn Hubler via NYT",negative
