"▶97.86% Cured/Discharged/Migrated (3,30…",positive
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
"Over 88.14 crore Covid-19 vaccine doses provided to States/UTs so far, says health ministry | India News",negative
"In Madagascar, 4 out of 5 children under 2 suffer from chronic malnutrition, but the food crisis in the south and COVID-19…",negative
"Pregnant and recently pregnant people with COVID-19 are at increased risk of severe illness, death, and pregnancy compli…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
It may also be worth noting that the British Media has been silent on some key Covid-19 data,negative
Their own staff begged them to stop allowing users to…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Mr &amp; Mrs Mabuza excited to receive their Covid-19 Vaccine at Rietvallei Sports ground. Walk ins are accepted, bring your Identity document.",positive
This post also explains how COVI…,positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
California to require COVID-19 vaccines for schoolchildren,negative
🚨Reminder🚨,neutral
Time for monoclonal antibody treatment,negative
VoomaVaccination,neutral
Reactions &amp; side effects c…,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Covid-19 killed another 46 people in Pakistan in the last 24 hours, pushing the national death tally to 27,831, according to official data released by the National Command and Operation Center (NCOC) on Saturday morning.",negative
☆ UK now only 23rd in worl…,positive
"🏈 Forfeits have popped up in high school football this fall, mainly because of COVID-19 issues, and could affect if teams q…",negative
New Zealand has very similar issues with the COVID-19 Response Act,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
IChooseVaccination,positive
