65% say…,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
And another one bite the dust...Buh bye!,positive
"US COVID-19 death toll hits 700,000",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Medical examiner report confirms teacher's COVID-19 death,negative
"\"That's something that's personal to him. That's something that's health-related.”",positive
This will go into effect following full…,positive
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
In recent time we've had a royal commission into the banking sector we've had royal commission in aged care why can't we have a royal commission into the botch handling of covid-19 by dictator Daniel Andrews! I'm using bouncers to guard covid quarantine facility alarm went off!,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 count…",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"In policy shift, Alaska Air requires COVID-19 vaccine for employees",negative
Bullshit.,negative
Super simple poll.,positive
1/,positive
Should President Biden authorize molnupiravir it…,positive
1. Tell that to the parents who have lost their kids to Covid or kids who have exposed other vulnerable family members…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
It’s almost like weather forcing people inside helps spread the disease and mandates are irrelevant.,negative
"\"Rural America\" = Trump red states.",neutral
California will enact the U.S’s first COVID-19 vaccine mandate for schoolchildren,negative
