Why max 100 people in a Funeral but max 75…,negative
Seniors walk in without appointment to get Covid-19 vaccine booster shots 'as soon as possible' - The Straits Times,negative
Something else to watch out for at 1030am is growing calls to make vaccines mandatory in education much like they are n…,negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
Lets fucking gooo,positive
This isn’t about kids. This is about teacher’s unions.,negative
"As the 2022 Winter Olympics draw closer, one thing is clear China has not being transparent with its COVID-19 numbers.…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"Covid-19 Deaths before and after mass vaccination programs! All for a “Virus” with a 99,7% survival rate.   Just Say No  o…",positive
Australia is on track to vaccinating at least as high a proportion of our population as the US.,negative
65% say…,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
So it's LESS effective than HCQ or Invermectin? But costs 100x more? Seems like a Biden plan....,positive
“The GOP governor's job approval rating among registered voters is underwater for the first time since 2018…”,negative
🌆ONTARIO 🌆,positive
"Thx to a Whistleblower that came forth to Atty Renz, the public's now seeing, for the first time ever, HardData fro…",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"So we have dozens of independent studies about other stuff and he ignores, but now when they just put out a press relea…",negative
Good question. Personally I’m more concerned about getting Covid-19 from vaccinated perso…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
22.2% yes,positive
Their recent Covid-19 deaths a…,negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
COVID-19 vaccination for children under 12NewsATW,negative
"That’s so damn stupid! I’m sure COVID-19 is like, let me pick only Hispanics and blacks and other minorities SMH 🤦‍♂️",negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
⚠️ Risk Asses…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
We are more than just a COVID-19 vaccine company. We are an information-medicine based platform company. Our development ca…,positive
