NATURAL IMMUNITY is better than any POSION the government wants to inject the population with.,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
FreeCovidVaccination,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"The World Bank Board of Directors has approved a $400 million credit to Nigeria in additional financing, from its Internati…",positive
"It's official. Johns Hopkins Coronavirus Resource Center shows that America has surpassed 700,000 deaths due to Novel Coronavirus Covid-19 as of midnight. VaxxUp MaskUp AvoidCrowds DontBeStupidGetVaxxed",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-19…",negative
"Importantly, there's no similar rise among children aged 1-14 . . Interestingly, 2020 was a low-mortality year for this ag…",positive
U.S. Supreme Court Justice Brett Kavanaugh tests positive for Covid-19,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"How is this legal,  ⁦⁩ , ⁦⁩ ? - Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law - CNNPolitics",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
A trial of a new COVID-19 pill has been described as a game changer with clinical results showing it could half the chance…,negative
"Minister of Health Dr. Alkuwari   discusses Qatar’s efforts to manage COVID-19 peak, why Qatar, alongside Si…",positive
The first wave of the COVID-19 epidemic in Spain was associated with early introductions and fast spread of a dominating geneti…,negative
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
Doctors when you ask if the vaccine will actually cure Covid-19 as vaccine's are supposed to do.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
via NaMo Ap…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Pfizer accused of experimenting on orphan babies to test their Covid-19 Vaccine.🤬,negative
📻 87.7fm | 📲,positive
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
"As per report ofHong Kong(CNN)A Covid-19 \"superspreader\" who traveled around northeastern China has been linked to 102…",negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
🇰🇿 KAZAKHSTAN Authorities ease COVID-19 restrictions in Almaty region |,negative
The Permanent Mission of the Islamic Republic to the United Nations has censured the US for imposing inhumane restrictive measures against Iran especially during the COVID-19 pandemic.,negative
COVID19…,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
CoronaVirusUpdates,neutral
Super simple poll.,positive
"📍Total COVID19 Cases in India (as on October 02, 2021)",negative
"",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
65% say…,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
There you go... there you go.,positive
"The COVID-19 pandemic upended life as we know it, and devastated the travel industry globally. As travel volumes are returning in many parts of the world, customer experience is emerging as the challenge of the recovery. ✈️ …",positive
LOVE ON TOUR. SHOP MERCH EARLY.,positive
↓,neutral
"",""
Yo mamá is so dumb she thought the COVID-19 vaccine gave your brother autism.,negative
COVID-19 vaccines will be added to immunization list required for CA students Technology News,negative
After many bumps our work on the genomic epidemiology during the 1st wave in Spain is finally out in . This is a col…,positive
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"These UK death-within-21 days-of-injectables numbers, are gigantic.",positive
"📍Total COVID19 Cases in India (as on October 02, 2021)",negative
"Saturday, 10/2, at Madison Square Garden.",positive
👈🏼💦,neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"▶97.86% Cured/Discharged/Migrated (3,30…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Frontline health &amp; social care workers can now book their COVID-19 Vaccine Booster – for extra protection against the virus.,positive
"Covid-19 antiviral pill could be a game changer, but vaccines are still America's way out of the pandemic, experts say",negative
How COVID-19 Has Affected Small Business Marketing Requirements [Infographic],positive
New reports are coming out detailing how pilots who have taken the experimental COVID-19 vaccine could potentially die…,negative
The Great Barrington Declaration is a dangerous belief system that encourages natural immunity in children. bcpoli,neutral
"30,305 within 6 months.",positive
I'm not taking advice from a magazine that…,neutral
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
UNISON urges MPs to act amid surging school COVID-19 cases,negative
Thread from the best. I was distrustful until I read this breakdown; not any more. Really nice exposition.,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
WHO Applauds Ghana For Efforts To Develop COVID-19 Vaccine,positive
"Over 88.14 crore Covid-19 vaccine doses provided to States/UTs so far, says health ministry | India News",negative
We recruited 11 participants that were diagnosed with COVID-19 and studied each for 3 days in a controlled chamber wit…,positive
Spot on  🙌🙌🙌🙌,positive
"Research by an independent statistician, who goes by the pseudonym of John Dee, appears to confirm what many have suspected s…",positive
Like to put this in perspective? Ya hat here was in HIV vaccine trials literally multiple *decades* ago. We have been t…,positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
1/2 - “It has been recently reported that the risk of acquiring COVID-19 by touching contaminated surfaces in less than 5 in…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
US develops COVID-19 anti-viral pill | COVID-19 | 9 News Australia – 9 News Australia,negative
