"For instance, federally funded ads for the vaccine…",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"🌏In the trial, 775 patients around the world - including in the UK - with at least one risk factor for severe illness began…",negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
Lock them up,positive
"Hi Fam! I made a GoFundMe w/ the help of - please share widely, notice non-monetary donations are deeply app…",positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
Hospital wait lists were stuffed before Covid,negative
Merck says experimental pill cuts worst effects of COVID-19,negative
Dear Ms Midler🌹. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
$600 withdrawals under the microscope.,negative
Free covid-19,positive
"PM  could make COVID-19 vaccinations mandatory for ALL eligible Canadians. If vaccines were mandatory, people that choose not to get vaccinated could legally be fired with cause. I think that would be an equitable solution. Don’t you? MandatoryVaccination",positive
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
Hospital wait lists were stuffed before Covid,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Every conspiracy theory around COVID-19 and the vaccine has been disproven – can we please stop validating the opinions of anti-vaxxers?,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Why?,negative
Why hasn't ivermectin been submit…,negative
The latest COVID-19 symptom is about butts â but itâs no joke.,negative
Wonder how this would have impacted the recall?,negative
↓,neutral
Possible ??,positive
Unemployment benefits to be paid back.,negative
CDC LIED about deaths. CDC owns virus patent &amp; gets Pharma royalties,negative
"Scientists in Japan have reported a case in which a patient seems to have developed \"restless anal syndrome\" after suffering from COVID-19, with initial findings indicating that the...",negative
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
Get ready Greg is gonna start patting himself on the back!!,positive
"What bullshit, how can it be legal to profit off of a virus",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Disney Theatrical Productions said it will cancel all shows unti…,negative
"MintPremium | Australia plans to start reopening its international border in November, ending one of the world’s strictest…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
👈🏼💦,neutral
FreeCovidVaccination,neutral
auspol,neutral
Evictions mounting ready to be processed.…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Elections have consequences,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"‘Hard times, COVID-19 lockdown drove me into car theft’ -",negative
"US surpasses 700,000 Covid-19 deaths - CNN",negative
"\"I would like to thank &amp; commend the Govt of 🇿🇼 for their tremendous efforts in the COVID-19 vaccine roll out so far, w…",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures…",positive
U.S. stocks rallied broadly with investor sentiment boosted by positive economic data and progress in the battle against COVID…,positive
"People need something to pick apart. The MRNA vaccines are really a medical marvel! Cutting edge technology that saved man kinds bacon so far…..no one can help stupid people and by all means, they need to find out the hard way that a simple prick beats the excruciating COVID-19",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Amid COVID-19 vaccine certification row, UK reacts to India's reciprocal move",negative
WE WERE RIGHT In August 2020 TGP Reported Per the CDC That Only 6% of All COVID-19 Deaths Were Caused EXCLUSIVELY by the COVID-19 Virus - Today It's Down to 5%!,negative
↓,neutral
Appreciate this clear and specific headline from my col…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"",""
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
↓,neutral
👈🏼💦,neutral
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
"\"Rural America\" = Trump red states.",neutral
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
To protect everyone from the COVID-19 the  orgainse FreeCovidVaccination at various places..,positive
ARRESTED Hawaii authorities arrested two people from California for submitting fake COVID-19 test results to avoid a mandat…,negative
Get fucking vaccinated! I am so pissed of at the anti-vaxxers particularly for those whose lives are put at risk.,negative
Sharjah24,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"NYU Women who receive the mRNA COVID-19 vaccine during pregnancy pass high levels of antibodies to their babies, a new study finds.",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
I must be drunk off of The Migos or stupid.  Throw Canada away,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
How mysterious that the exact mutations needed to change the spike protein to evade vaccination arose in the unvaccina…,negative
"So that's roughly equal to 1.4%. Assuming this is a random sampling, it means that at least 4.5 million people in the US got COVID-19 by 17 January 2020.",negative
👈🏼💦,neutral
Happy,positive
"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
President Biden gets his third Covid-19 vaccine shot on camera and says getting more people vaccinated is key to ending the pan…,negative
So much for the passports,negative
This is far from over. Please stay home and stay safe.😷,negative
Super simple poll.,positive
Sask…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Card Making,positive
Californians hit hardest by the pandemic can apply for CA COVID-19 Re…,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Cov…",negative
He’s just getting started. Best of luck to you if you still live in that Leftist Nightmare of a state.,positive
COVID-19 in Pakistan kills 46 people in last 24 hours. pakistan,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"No, you cannot inhale or ingest hydrogen peroxide to treat COVID-19",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Restless Anal Syndrome Man Developed Symptoms After Covid-19 Recovery!,negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
65% say…,positive
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
"",positive
This will go into effect following full…,positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"Just eight of the 33 Vermonters who died of  Covid-19 in September were Unvaccinated, the Vermont Department of Heath sai…",negative
At least one long-term symptom seen in 37% of COVID-19 patients Study | MDedge Internal Medicine,negative
"\"Rural America\" = Trump red states.",neutral
Have Your Say On The COVID-19 Response (Management Measures) Legislation Bill,positive
I think the whole space thing could be the case for that denial. Looking at the reported COVID-19 cases for September it was quite high so they possibly were just trying to keep exposure limited.,negative
in other news fire is hot,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A nurse in Michigan was arrested Wednesday for selling fake COVID-19 vaccine cards.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Have Your Say On The COVID-19 Response (Management Measures) Legislation Bill,positive
The European Union's drug regulator on Friday identified a possible link between rare cases of blood clotting in deep ve…,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"Heading into the weekend, it’s important to remember to follow all public health measures for indoor &amp; outdoor gatherings…",positive
Yan Limeng finally admitted that his laboratory theory of virus origin led to racism and physical attacks against Asians and Asians who are spreading with the COVID-19 pandemic in the United States.StopAsianHateCrimes  StopAAPIHate Bannon DrLiMengYan1 闫丽梦 郭文贵,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
This one costs $700 for a 10 day treatment or $70 per pill while Ivermectin costs $0.58 per pill. Follow the science?…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"Here's more acclaim for India's largest COVID-19 vaccine awareness drive,  Sanjeevani - A Shot Of Life, a  CSR initiative - this time from Dr. Charanjit Singh, Civil Surgeon, Govt. of Punjab. Watch now! VaccineLagayaKya",positive
Youtube CEO says censoring videos about COVID-19 and the vaccines is a “Top Priority” and they have deleted 1 Million vide…,negative
Incarceration is a public health crisis now and always.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Then you can do some simple calculations with the infection rate etc. 2/3,positive
Going to pin this because you know it'll be another anti vax lie that lives on.,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Dr. Theresa Tam, Canada’s chief public health officer, suggested vaccination coverage may now need to be 80 per cent for the w…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
New poll finds that a majority of Americans (53-26) support lifting sanctions if they interfere with humanitarian aid and…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"US COVID-19 death toll eclipses 700,000",negative
"How is this acceptable, he wants the vaccine to play sport not because of covid19?",negative
Day,positive
This will go into effect following full…,positive
In pandemic time of Covid-19 volunteers of  serving nation by arrange FreeCovidVaccination camp with th…,positive
"NSW records 813 local COVID-19 cases, ten deaths | COVID-19 | 9 News Australia",negative
"Wow,  Democrats actively punishing Republican States,  that’s an act of war.",negative
"The Broadway hit \"Aladdin\" is trying to keep COVID-19 contained.",negative
auspol qldpol,positive
WARNING 80% of the 99% of VACCINATED AUSTRALIANS contract DELTA VARIANT…DEATH RATE…,negative
