This pande…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Merck to seek authorisation for oral COVID-19 drug,negative
Second day where no one from the NSW government has fronted the media about COVID19nsw 15 Covid-19 deaths reported yesterda…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
"Zambia's 2021 Q2 GDP show that the economy grew by 8.1% compared to -5.1% in Q2 of 2020 (ZamStats). Arts, entertainment &amp; recr…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
"Cancerpatients on chemotherapy likely not fully protected by COVID-19 vaccine, study finds",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Sen. Johnson says COVID-19 peaked before vaccine rollout, resurged after mass vaccinations -",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Thank you so much for spotting this.  My bad - I wrote the names of the vaccines into the original survey - and yes I should know better as a Public Health and Covid-19 researcher!  Now corrected, thank you so much )(",positive
I don't understand,negative
A whistleblower has provided government data,negative
🇬🇧 Pfizer stand accused of experimenting on orphan babies to test their Covid-19 💉,negative
♦️♦️♦️♦️♦️,neutral
SocialMedia COVID,positive
"📍Total COVID19 Cases in India (as on October 02, 2021)",negative
He’s just had his first dose of the COVID-19 vaccine.,negative
👏,neutral
"India records 24,354 new Covid-19 cases, 234 deaths; Kerala remains top contributor",negative
"China has banned international students for the past 2 years, most of the degrees need practical experience along with the…",negative
UK food banks 'prepare for the worst' as COVID-19 aid comes to an end.,negative
U.S. eyes Israeli military data for Pfizer COVID-19 booster safety,negative
World Leaders thank India for Covid-19 Vaccine shipments at High-level UNGA Session,positive
"documenting 48,465 deaths",negative
Go look up the word.,positive
This is government overreach on an unpre…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
White pill.,positive
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
Cuba aims to fully inoculate 90% of residents against COVID-19 by December,negative
"StateDept The United States delivered nearly 800,000 doses of Pfizer COVID-19 vaccines to Sri Lanka today through …",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"The new anti-viral pill to fight COVID-19 from Merck called “Molnupiravir”,  keep in mind Merck is the pharma company that…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"Merck says COVID-19 pill cuts risk of death, hospitalization  10.1.21&amp;utm_term=Sentences | Wait...Yo…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The staff of Yadagirigutta Police Station conducted an \"Awareness program on the wearing of the mask and precautions of the…",negative
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
Japan to begin experimenting with proof of vaccination at restaurants &amp; other places this month.,negative
designer COVID19Vic,positive
"👿Fact check Over-the-counter vitamins not proven to treat, prevent COVID-19",positive
"",""
within 14 days of COVID-19 vaccination,negative
Allegations that P…,positive
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
Not google it.,neutral
Instagram,positive
"Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Worki…",negative
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
"",""
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
