👈🏼💦,neutral
👏👏👏Newsom orders COVID-19 mandate for all California students,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
COVID-19 Outbreak &amp; Cover-up,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
i ate my delicious left over tortilla soup tonight.,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
2nd ambulance to leave the port with a sick crew member from the bulk carrier docked off Fremantle. 12 of the 22 crew m…,negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
Yeah but isn’t it now mostly right wingers killing themselves to own the libs?,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Confirmed Deaths,negative
"Of 183,000,000 Americans vaccinated, just 4,333 have died of covid-19 since Dec 2020.",negative
"",""
"This is where we've made it.  We're supposed to trust \"scientists\" who are so smart that they think it's not only women who can get pregnant.",positive
"Covid-19 Test In India Till October 1, more than 57.19 crore corona tests have been done across the country, more than 14 lakh corona samples have been tested in the last 24 hours.",negative
"This American Mayor Wants to Give All Household in His City $1,000 in Bitcoin",positive
Washington,positive
Assistant Commissioner Murree  sealed 3 hotels…,positive
"Hundreds of corrections &amp; police officers have died of COVID-19 in the US the last 2-years.  Unvaccinated officers pose a serious risk to fellow officers, civilian staff &amp; the public.  95+% of ICU patients are unvaccinated.  This is not a political issue.  It’s a medical issue.",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Super simple poll.,positive
"▶97.86% Cured/Discharged/Migrated (3,30…",positive
2nd ambulance to leave the port with a sick crew member from the bulk carrier docked off Fremantle. 12 of the 22 crew m…,negative
Harry &amp; Meghan in NYC Live Updates Duke and Duchess Prepare for Global COVID-19 Conference.,positive
Hazmat is supporting Safe Work Australia's ThinkSafe WorkSafe BeSafe campaign this October for National Safe Work Mo…,positive
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
the vaccines against COVID-19 cut risk of death and hospitalization by up to 95%,negative
Toxic spike in 💉and in 🦠COVID-19 biological products are deterministic for the myocarditis cases observed after…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
“Why are you pressing it so hard?” - Draymond. Because almost 700k have fucking died and hospitals are fucking ran over. You…,negative
A clip of Dr. Anthony Fauci expressing concerns about the durability of natural immunity has been taken out of context by…,positive
How a longtime friendship can get lost in these times. Losing a loved one to COVID-19 didn't help either.,negative
"Thomas, 15, high school student.",positive
Charges have not yet been pr…,negative
"\"Delta\" did not move the goalposts. Unelected unaccountable health bureaucrats did with the consent of self-interested politicians. The media loves lying like this to their audiences.",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Daily new deaths,negative
