I'm not taking advice from a magazine that…,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
TakeBackPakStudentsToChina,negative
"Like, politicians announce vaccine mandates for kids",negative
WeServeAndProtect,neutral
Super simple poll.,positive
Others should do the same in your communities.  Same price…,negative
"India reports 24,354 daily new Covid-19 cases, 234 deaths | India News",negative
This is going to be amazingly helpful to have until we finally get a vaccine.,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Real truth,positive
"There are currently 1,005 COVID-19 cases admitted to hospital, with 202 people in intensive care, 99 of whom require ventila…",negative
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
People who claim that the Chinese did no wrong or that it is racist to blame them for Covid-19 spread are China shill.,negative
Now the same company has an…,negative
NEW California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate t…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
takeUsBackToChina,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Odisha reports 478 new Covid-19 positive cases in last 24 hours,negative
Supreme Court Justice Sonia Sotomayor on Friday denied an emergency appeal from a group of teachers to block New York City's COVID…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"\"Vitamin D was associated with COVID-19 infection univariably (OR = 0.99; 95% CI 0.99–0.999; p = 0.013), but not after…",negative
The truth abouut the virus is the root of all problems SARS-CoV-2 = C…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
"US surpasses 700,000 COVID-19 deaths",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Nagaland records 21 new Covid-19 cases.,negative
Clovis parents are crying and throwing up rn.,negative
"Gov. Newsom announced a COVID-19 vaccine mandate for all eligible students in the state. So, what does this mean for your c…",negative
"Worldwide deaths related to COVID-19 surpassed 5 million on Friday, according to a Reuters tally, as the Delta variant causes…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
Canada stopped giving Moderna to men &lt;25 just *this week* due to the myocard…,negative
"After evaluation of interim Phase III clinical trial results in consultation with Subject Expert Committee, CDSCO has…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"The latest update to the provincial COVID-19 Dashboard also indicates an increase of 11 deaths since Thursday.\"",negative
before the FDA approves the…,negative
U.S. hits 700000 COVID deaths just as cases begin to fall - NPR * U.S. hits 700000 COVID deaths just as cases begin to fal…,negative
Venom Let There Be Carnage hits US cinemas,positive
PNPPATROLPLAN2030,positive
65% say…,positive
Infuriating how discussions are framed,negative
↓,neutral
The sequel to 2018's Venom finally arrives in theaters after dealing with delays due to the effects of COVID-19 and sees the return of star Tom Hardy in the titular role.,positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Thoughts and prayers😏🙄,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",positive
"Budget 2022 will focus on people still adversely impacted by the COVID-19 pandemic, said Prime Minister Datuk Seri Ismail Sabri Yaakob.",negative
"As for being Qanon, sighs, I am not even American, when will you learn that the world is not about pro or anti Trumpers?",negative
"Keep in mind this is based on claims by the manufacturer, but, IF these results prove out, this will be a wonderful devel…",positive
