Another AW139 helicopter is flying to the rescue in regional and rural communities as par…,negative
I **think** that protective antibodies get transferred via breastmilk to baby?,negative
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
How COVID-19 Quarantine Helped Me  via,positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"Reported yesterday 1,488 new local cases and 0 cases acquired overseas.",negative
13 Aug 2021,positive
"",""
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Dear Parents… Tired of watching your child walk? Then why not let them join the 1,149 people left paralysed by the C-1…",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
***URGENT,negative
Super simple poll.,positive
👈🏼💦,neutral
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
The US government is buying it at $700 per pill 😟,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
So supreme court justice Brett Kavanaugh has tested positive for COVID-19,positive
Cuba has provided one dose of the COVID-19 vaccine to 95 percent of the population.,negative
"- 36,878 vaccines administered",negative
This will go into effect following full…,positive
"\"Rural America\" = Trump red states.",neutral
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"The Ontario Hospital Assoc. says the mandatory vaccination policy should be applied to all health care settings, not just…",negative
"US Crosses 700,000 COVID-19 Deaths Report",negative
"\"Rural America\" = Trump red states.",neutral
REGIONAL | Nagaland Issues COVID-19 Guidelines to Celebrate Durga Puja,positive
1. The COVID-19 survival rate for t…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
I rarely speak on the matter of COVID-19 vaccines but Dr Christina Parks’ speech just has to be shared; she’s a Cellular and…,positive
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"Sen. Johnson says COVID-19 peaked before vaccine rollout, resurged after mass vaccinations -  OANN",negative
Is there a single reported death from Covid of an Airline workers since the start of the pandemic?,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Florida doing it right,positive
35% of the population are either tyrants or potential tyrants.  That's my takeaway.,negative
52 cases in Canberra today and the plan is still to send kids back to school in four weeks 😞,negative
Amazing Ballet,positive
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
China has more than 80 percent of its…,negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
65% say…,positive
"Dr Sunetra Gupta, Professor of Epidemiology at Oxford University, on giving children COVID-19 vaccines. NoVaccineMandates…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Vaccines reduce risk of death and hospitalization by 96%,negative
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the…,positive
GOP Senators introduce bill to block federal agencies from requiring COVID-19 vaccination,negative
NSW has recorded 10 more deaths and 813 new local cases of COVID-19 as 65.2 per cent of residents aged 16 and over are fully vaccinated.,negative
"- 71,224 test res…",positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Should American citizens lose their job if they object to taking the COVID-19 vaccine?,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
".. a suspicious shipment coming from Shenzhen, China ..",negative
"“The WHO &amp; CDC possess direct &amp; recent knowledge of IVM use for COVID-19 in India. Moreover, they know bett…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Nagaland COVID19 DurgaPuja,negative
"",""
