"",""
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Cody Rigsby and Cheryl Burke will compete VIUALLY on DWTS after both tested positive for COVID-19,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
COVID-19 Vaccination Clinic,negative
↓,neutral
Super simple poll.,positive
AstraZeneca’s Covid-19 Antibody Treatment Failed To Prevent Symptoms In Exposed In…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
So fucking what!!!!!! its called an immune system with kids at 99.3% outcome you stupid fu©k,negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
A concerning statistic about teenagers and COVID-19 vaccines is making the rounds on social media and eliciting anxiety fro…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
sounds familiar hehe how many politicians have uttered these words and look where we still are ugh bunch of clowns,positive
SCIENCE!~,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
So much for the passports,negative
"As of Friday, a variety of businesses in Saskatchewan now require visitors to show proof of vaccination or a negative COVID-…",negative
BReaKtHrouGH cASe!,positive
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
Clovis parents are crying and throwing up rn.,negative
Australia plans to lift the 18-month Covid-19 pandemic ban on its vaccinated citizens travelling overseas from November. Ho…,negative
Tory MP admits to Parliament that his Party are LIARS. Quoting actual Government backed NHS data he said Covid death fig…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Judging by numbers, most Aussies happy to roll up sleeves ✅, but small minority adamant they won’t. Can Govt legally force it…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
| Key messages,positive
Super simple poll.,positive
The IAMS are administering COVID-19 Pfizer vaccinations to help keep our mob safe!,negative
"Late Monday, the Data and Safety Mo…",positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"…. it is unclear how long FDA review will take, although Dean Li, head of Merck's research labs, said, \"they are going t…",negative
Tell it to leave Alberta before it gets Covid-19,positive
"Greater Shepparton to enter snap, seven-day COVID-19 lockdown",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Supreme Court Justice Sonia Sotomayor on Friday denied an emergency appeal from a group of teachers to block New York City's COVID…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Not rare Patient information sheet on AstraZeneca COVID-19 vaccine and thrombosis with thrombocytopenia syndrome (TTS),negative
Follow COVID-19 Appropriate Behaviours every day.,positive
👈🏼💦,neutral
Q Why should I get the Covid vaccine? 💉,negative
65% say…,positive
COVID-19 Vaccination  Camp  volunteers👏👏,negative
65% say…,positive
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
"IndianArmy organised ‘COVID-19 Awareness Drive’ at Govt Higher Secondary School, Surankote in District Poonch (J&amp;K). The…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"We are proud to announce our donation of an additional 332,280 doses of the Pfizer COVID-19 vaccine to the people of Benin,…",positive
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Agreed! These Socialists declared War on America by Cheating on the Presidential elections. Lying about Covid-19 &amp; effective treatment! Murdering innocent people in nursing homes.,negative
“The government “secretly removed” people with disabilities from the top of the Covid-19 vaccine priority list ahead of i…,negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"To give some relief to the underprivileged people from the Covid-19 outbreak,  conducted vaccination drive for people living on the streets in association with",negative
 ,positive
Unite2FightCorona,neutral
Block Moga Panjab,positive
•Very rare cases of capillary leak syndrome (CLS) have been reported following vaccination with AstraZeneca C…,negative
STUDY “Rural Americans are dying from COVID-19 at more than twice the rate of their urban counterparts” 😷,negative
Bookings…,positive
"Reported yesterday 1,488 new local cases and 0 cases acquired overseas.",negative
IndiaFightsCorona,neutral
"A Covid-19 can affect absolutely anyone, and the vaccine is our best protection ag…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
School boards ask for federal help as tensions rise over Covid-19 policies,negative
"Most of the kids in California are from Mexico. They're not \"our\" kids.",negative
FreeCovidVaccination,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
We4Vaccine GotTheDose UnitedAgainstCOVID VaccinationDrive VaccineForIndia Vaccine nagpur,negative
"Oh no. Players see this as \"ride and die\" with my teammate opportunity rather than a \"ride and die\" with my teammate possibility.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
STUDY “Rural Americans are dying from COVID-19 at more than twice the rate of their urban counterparts” 😷,negative
"- 36,878 vaccines administered",negative
JanAndolan,neutral
"- 71,224 test res…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
United Airlines Plans To Fire 593 Employees Who Did Not Get COVID-19 Vaccination By Deadline – CBS Chicago,negative
After many bumps our work on the genomic epidemiology during the 1st wave in Spain is finally out in . This is a col…,positive
"Tune in now for this morning’s COVID-19 briefing with Dr. Fauci, Dr. Murthy, Dr. Walensky, and Jeff Zients.",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
The United States is committed to defeating the COVID-19 pandemic alongside our partners. We are proud to announce our direc…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"",positive
"",""
"Also, you are a fucking demon.",positive
This treatment WORKS.,positive
"I also, in early November 2019, got very sick. My boys made a simple Thanksgiving dinner. We didn't want anyone over. What we don't understand is my daughter wasn't getting better. She passed away. COVID-19 was here in 2019!",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
↓,neutral
It ain’t wort…,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Bad news for the Left,negative
"Tuesday, March 23, 2021",positive
…,positive
"“”I hold p/r/c entirely free from liability or responsibility in the event that i contract COVID-19 during the period of the licensure examination”” wtf is this?? Pwede naman kasi magconduct ng exams kung kailan safe na, bakit minamadali??",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
They all belong in the same prison as Gladys in Australia.,negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19 -,negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths | Reuters It cuts death rate by 50%! Now…",negative
Monoclonal antibody treatments have been shown to lessen the severity of illness in high-risk COVID-19 patients and ar…,negative
"700,000 Americans now dead from COVID-19",negative
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
"Get the facts about COVID-19 and rare heart inflammation in kids from Dr. Lee Beers, president of the American Academy of Pedia…",positive
COVID-19 death rate in rural America now double that of urban communities,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Jun 15, 2021 -  -",positive
NIAID Statement on AstraZeneca Vaccinel,positive
This is government overreach on an unpre…,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine. And you wonder w…",negative
"A group of 90,000 school board officials around the U.S. is asking President Biden, the FBI &amp; the Secret Service to pr…",negative
"US hits grim Covid-19 milestone of 700,000 deaths",negative
Wake up politicians of Australia especially Chyna Dan in Victoria. lockdown does not work. Masks do not work. Police th…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
