how can parents make schools put mitigation’s in place?,negative
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"California’s governor on Friday issued the nation’s first statewide Covid-19 vaccine mandate for schoolchildren, saying they w…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"",positive
This post also explains how COVI…,positive
COVID-19 in Pakistan kills 46 people in last 24 hours,negative
Great news! “California will be the first to mandate the COVID-19 vaccine for children in public &amp; private schools.,negative
65% say…,positive
Is it possible that shutting down construction for 2 weeks may have lead to cases rising faster?,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
Can someone please make it make sense.,negative
"",""
"Bad grammar, if nothing else.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"My partner, a black woman, first generation college grad. She became a clinical research nurse. Worked through…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Mark McGowan touts WA's COVID-19 success to Labor Party faithful ahead of federal campaign - ABC News,positive
Addressing the Session on Sustainable Development Goals in the light of Humanity’s experience with COVID-19 at the Norman…,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Covid-19 Report For 1st October,positive
"Saturday, 10/2, at Madison Square Garden.",positive
This post also explains how COVI…,positive
"Look, ma! A Page 1 story!",positive
"",""
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Draymond Green shares his thoughts on Andrew Wiggins and the COVID-19 vaccine.,negative
Is Covid-19 more lethal in a funeral??,negative
Masks are required while shopping.,neutral
This post also explains how COVI…,positive
COVID-19 has been infected by Brett Kavanaugh,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Poorly circulated room air poses COVID-19 ‘hotspots’ risk,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
is height truly relevant to being sick?? 😂😂,negative
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
Here’s What Experts Want Pregnant Women to Know About the COVID-19 Vaccine  via,negative
COVID-19 absolutely did not do that.,negative
It wil…,positive
the judgement is? vaxy no worky,positive
No shit Sherlock. My cousin and his 25 yr old daughter died from Covid last month after making this grave miscalculation!,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"The COVID-19 pandemic exacerbated domestic violence incidents, but the full extent of the impact is not known.",negative
Why max 100 people in a Funeral but max 75…,negative
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
New Positive Cases 478,negative
"Five people died of Covid-19 in Delhi throughout September, a sharp turnaround for the city…",negative
"Syrians face common enemy across frontlines surging COVID-19 | \"It's a disastrous situation. The hospitals are completely…",negative
"Dr. David E. Martin COVID-19 Antitrust Prepared for Attorney Generals, U.S. Attorneys, &amp; Congress  via",positive
California will become the first state to mandate Covid-19 vaccinations for K-12 school kids “We want to end this pandemi…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
BULL - SHIT,negative
(🎥),neutral
Of which 0-18 years 57,positive
All guests age 12 a…,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
The developing world's brain-dead response to COVID-19 - which consisted of preten…,positive
I'm tested negative for Covid-19 despite 4 of my workmates are positive. Double mask works! One thing I do I never eat at…,negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"\"Rural America\" = Trump red states.",neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Merck says COVID-19 pill cuts risk of death, hospitalization",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Wait til they put fentanyl in these,negative
Absolutely.  We all have seen how covid-19 has affected our lives so it's…,positive
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
This Domesti…,positive
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
CA becomes first in nation to announce COVID-19 vaccine will be added to list of required school vaccinations.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
7 Day Covid Growth in Deaths per 1K Population by County For FL   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Chapel Hill, N.C.",positive
I'm not taking advice from a magazine that…,neutral
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
In quarantine 281,negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
BREAKING California will add COVID to list of required vaccinations for students.,positive
NBA will save America,positive
This is the webinar I did on practical ways to reduce risk of COVID-19 transmission in workplaces and at home.,positive
"Notice how they focus on wherever the noise is coming from to shut it down. Once stars and big names speak up, they get worried because they are SO influential",positive
Wait til they put fentanyl in these,negative
ٹھیک_کرےگا_سب_کپتان,positive
"",""
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
Local contacts 197,positive
This will go into effect following full…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Vaccine passports for Hospitality has been in pla…,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"Emerson Waldorf School in Chapel Hill, which has a 56-acre campus, is a private school that has been holdi…",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The news is pretty grim 🧵,negative
Super simple poll.,positive
COVID19…,neutral
"Alberta launches QR codes for vaccine proof, but no way to scan them; 1,630 new COVID-19 cases",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leadership of PM",negative
Super simple poll.,positive
(D…,positive
"BREAKING Ontario is making COVID-19 vaccinations mandatory for all in-home LTC staff, support workers, students &amp; volunteers…",negative
Kids kids kids… get COVID19… reckless endangerment of leaders like  to put kids at risk! Look at that damn gr…,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
The Health Ministry has ruled out certain population groups from the administration of the covid-19 vaccine. …,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
