This will go into effect following full…,positive
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Covid-19 in the UK How many coronavirus cases are there in my area? - BBC News,negative
"But, God.",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Texas Abortion Ban &lt;&lt;&lt;,negative
👈🏼💦,neutral
"\"Your rights to privacy do not include infecting other people with the COVID-19 virus thru negligence\"",negative
↓,neutral
"\"No matter your politics or how you feel about elements of her handling of the Covid-19 pandemic, you can’t fault her care for her state and its people.\"",negative
Block Moga Panjab,positive
Rare. 🙄,positive
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
"",""
Infographic COVID-19 Outbreak &amp; Cover-up,positive
This will go into effect following full…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
(Largely) unvaccinated people with Covid-19 are now causing shortages of drugs which kids with relapsed childhood leukemia ne…,negative
Covid-19 hasn't calmed down and yet IDPs is facing the shortage of food. We must eradicate SAC asap.,negative
👈🏼💦,neutral
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
Visiting is being suspended at two Cheshire hospitals due a rise in Covid-19 cases.,negative
FreeCovidVaccination,neutral
COVID-19 absolutely did not do that.,negative
(Methodology and sources see pinned tweet),positive
Facts 👇🏽👇🏽👇🏽,negative
Attn. Suburban Cook County Renters and Landlords Has COVID-19 made it hard for you or your tenants to pay rent and utilities? You may be eligible for  rental assistance program. Learn more &amp; prepare to apply at  Applications open October 4th,negative
"A critical federal advisory committee meeting has been scheduled, and its timing suggests kids age 5 to 11 could start gett…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Great,positive
California Vaccine Mandate &gt;&gt;&gt;,negative
Unless he d*es i don’t wanna hear it,negative
The Biden administration pretends they care about COVID-19 while advocating firing healthcare workers who don’t get the va…,negative
Merck says experimental pill cuts worst effects of COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"- Kareem Abdul Jabbar, t…",positive
You stupid people if they haven't got covid-19 they can't infect the hospital patients,negative
What it’s like to travel in Switzerland (a half-dozen COVID-19 tests later) - The Globe and Mail,positive
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"My mom gave birth, breech, without a doctor or hospital. Took 2 days. Midwife only had ether as a pain med.",negative
AcceptNUG_RejectMilitary,neutral
Not once have I ever thought she cared for anyone other than the rich donors.,negative
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
Mom of Conn. Teen Speaks After Son Suffers Heart Condition Days After COVID-19 Vaccine,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"Just another one of the ivermectin stories. Somehow, I think I had heard of the Wayne County Police Captain before, though. 🤔🤔 Going to look into that.",negative
"",""
It would only be a matter of time before rhe pharmaceutical companies would find some new drug for covid.,neutral
This is the vaccine that Jas…,positive
"Kenya, Uganda, Tanzania and Ethiopia have agreed to roll-out cross border COVID-19 vaccinations. This was agreed following b…",positive
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Visiting info on Sungnyemun Gate,positive
1/,positive
"",""
7 Day Covid Growth in Deaths per 1K Population by County For AL   2021-09-28  Covid visualizations give insight into c…,negative
"Apparently, if all an account does is post COVID-19 misinformation… there's a limit to the number of tweets you can report.",negative
Oct1Coup,neutral
The Countess of Chester and Ellesmere Port…,positive
COVID-19 vaccines matter.,negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
‘Ignoring the Science’ Sen. Rand Paul Exposes HHS Secretary Xavier Becerra for ‘Lying To People About Natural Immunity’ fo…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The developing world's brain-dead response to COVID-19 - which consisted of preten…,positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Our children are now paying the price for a group of morons who refuse to vaccinate I'm beyond any understanding now GetVaccinatedNow,negative
Percentage of *all* Australians fully vaccinated for Covid-19 as at 1  October 2021 is,negative
Maybe this could calm down the crazies in our corrupt regime.,negative
↓,neutral
"But cool. Hope there's no snow anytime soon, I guess, so they can get to Edmonton.",negative
"'Cannot believe we are here' US hits 700,000 COVID-19 deaths, a milestone we never expected to reach  via",negative
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
"US surpasses 700,000 Covid-19 deaths",negative
WhatsHappeningInMyanmar,neutral
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"Gee, it's almost as if wearing a mask helps keep the virus down.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Super simple poll.,positive
The U.S. territory of Puerto Rico has done a better job than any state at inoculating residents and keeping its COVID-19 infection rate low.,negative
"",""
"I hope them and their media lackeys don't badmouth it, so they can keep the gullibles in perpetual fear",negative
“54 children sent to hospital is 54 too many. It’s just not acceptable. COVID-19 can be mitigated with simple public heal…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
· Opening times Closed every Monday.,negative
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
COVID-19 has been infected by Brett Kavanaugh,negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"It was actually only 9 cases, I just looked it up \"In one week, there were nine cases of Covid-19 in fully vaccinated members of the New York Yankees organization one player, three coaches and five team staff.\" And this was in May.",negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
Studying patients with severe COVID-19 has revealed a lot about how our immune system responds to the disease.,negative
"U.S. COVID-19 death toll hits 700,000",negative
"Covid-19 pill cut hospitalizations and deaths by HALF, maker Merck says",negative
Because it isn't true you rube.,positive
👈🏼💦,neutral
Health Minister Joe Phaahla says the SIU is working hard to bring people responsible for COVID-19 corruption to book. DStv403 e…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Super simple poll.,positive
65% say…,positive
"\"Jobs increased by 8.5 million during the month. The unemployment rate declined from 8.3 per cent in August to 6.9 per cent in September, the highest in 20 months or since the Covid-19 shock in March 2020,\" CMIE",negative
"Influenza in children is absolutely no joke, but Covid-19 causes more pediatric deaths, hospitalizations and long Covid. Data ⬇️",negative
"Only concerned with deaths? You forget the long-term effects of Covid-19. The effects millions of children in the 0-17 bracket that have had Covid-19 are facing, and effects that may not become an issue for years. Breathing problems, lung damage, brain issues, etc.",negative
44.77%,negative
(Oct.) 900-1800 / (Nov.-Jan) 900-1730.,positive
Details👉,neutral
65% say…,positive
"An Australian practitioner discussing the AHPRA gag order. It is a simple request, speak out against the official govern…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
WearAMask,neutral
"Don't let Covid-19 bring you down! Instead, complete a craft.",positive
This bit floored me,positive
