👈🏼💦,neutral
"According to The Gambia Urban Vulnerability Assessment Report,  48% urban households in Banjul, Kanifing and Brikama…",negative
If this is true... shut them down,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Dear Dr Johnson . can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
"Brexit 🤝 Covid-19 , destroying the UK economy.",negative
"\"United Airlines is integrating with the Apple Health app to offer support for COVID-19 vaccination verification",negative
What lessons from the Covid-19 pandemic can be taken forward to support the reforms underway in public health? …,negative
Data from France shows that paediatric COVID-19 has higher in-hospital mortality and higher proportion requiring intensive c…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
📍 Medway Park Sports Centre 9am to 5…,positive
1/2 - “It has been recently reported that the risk of acquiring COVID-19 by touching contaminated surfaces in less than 5 in…,negative
"Disney had fired back in unusually personal terms at the A-list star, accusing her of displaying “callous disregard for the ho…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
↓,neutral
"",""
The decision to disallow celebrations hurt the sentiments of the community,negative
"Ah yes of course, because most people don't want to hear that..",positive
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
A staggering 897 Chinese citizens have either disappeared or been punished by the communist govt for disclosing China's…,negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
Not ..the rapist abusing his position as a police man is responsable for the rape .. but the police powers during the COVID-19 lockdowns ?!!,negative
Time for monoclonal antibody treatment,negative
