👈🏼💦,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
"There will always be people who are vulnerable to the Covid-19 virus newborn babies, people who can't or won't get inoculated, and those who get vaccinated but suffer breakthrough infections as their protection levels decline.",negative
Thank you to the Newfoundland and Labrador health care workers who have generously volunteered to go to Fort McMurray to h…,positive
7D Growth in US Covid Deaths per 1K 2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Julian Hill MP,positive
👈🏼💦,neutral
The amount of plastic waste generated by Covid is estimated at 1.6 million tonnes per day.,negative
↓,neutral
"(No, REALLY, they invented cocaine.)",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"US surpasses 700,000 Covid-19 deaths - CNN",negative
Coming up next on CCTV's public channel (Comcast8/Verizon43),positive
↓,neutral
"",""
When this happens here I will home school my Covid recovered child!,negative
"\"Merck says its new experimental COVID-19 pill cuts risk of death and hospitalisation by half\"",negative
This is COVID info from my hometown. This is why I'm adamant all healthcare workers have a vaccine mandate.,negative
"You know what should stop?? Quack doctors going on YouTube and Twitter spreading misinformation on covid-19 vaccine dangers, ADE fear mongering, and pseudoscience for clicks and internet popularity",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Inauguration the new Chennai site of ALMS Chennai (Air Liquide Medical System). Congratulations Shri Anil Kumar who made…,positive
Study in U.K. released overnight,negative
"… for those wanting to “open up” and just “learn to live with the virus” like seasonal flu, contemplate this article - $41 billion in negative economic effects &lt;in the article&gt; from “just” annual flu … Covid-19 is 50 times the impact, just death toll, in the UK currently …",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Great! New ways of working.  Investing in your employees, putting them 1st, giving them options. Covid -19 pandemic sped up 4IR process. You can even choose a spot on the beach and work from there 🤣The New Norm of working due to Covid-19 pandemic. Following protocol",positive
I have just seen a US version...let's see what Aussies think!,positive
29 m  ·,positive
Australia's NSW state premier resigns over corruption probe amid COVID-19 battle | Reuter…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
I keep learning new things about Science,positive
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"U.S. deaths in 4 years of WWII . . . 405,399.",negative
"10/2/2021 13000 AM     Canton COVID-19 Webinar Sept. 9, 2021",positive
"So a Chicago federal court employee who tested positive for COVID-19 had attended en banc oral arguments at the 7th Circuit appeals court, where people were watching in person without masks even though it’s supposedly closed to the public, chief judge says in a doozy of a letter.",negative
The Red cross disagrees with your hoax information .,negative
👈🏼💦,neutral
"US surpasses 700,000 Covid-19 deaths amid case resurgence",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
UPDATE NSW received $6.15 billion in Covid-19 disaster payments compared to $2.4 billion for Victo…,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Full COVID-19 vaccination will be a prerequisite for attending any economic, commercial, cultural, entertainment, sports…",positive
Refugees in Melbourne immigration detention tested for COVID-19 after positive case,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Like, politicians announce vaccine mandates for kids",negative
3.4 billion single-use fa…,neutral
"BREAKING Minister Rod Phillips says all long-term care in-home staff, support workers, students, and volunteers in Ontario…",negative
It’s easy for us to pass on COVID-19 or flu viruses without knowing. This winter there are two essential vaccines you’ll…,positive
Great news 💕,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
