…WHEN WILL WE BAN wuE’S ASSALY VACCINE!!,negative
This is FakeNews,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"COVID-19 variants mu, delta and what to know about mutations  via",positive
Bad news for the Left,negative
Pfizer &amp; Moderna…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
SERENA I just saw a story on her finsta.,positive
This definitively proves that we live in dangerous times.,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
Super simple poll.,positive
Super simple poll.,positive
👈🏼💦,neutral
So that means 2/3rds ARE VACCINATED?  Covid-19 in Wales A third of positive cases are the unvaccinated,negative
BLAIR I met her at the Black Lives Matter protests of 202…,negative
Thank you UnitedStates USCONSULATEKARACHI,positive
As we all know that Covid-19 create so much panic in entire world.,positive
Super simple poll.,positive
"",""
"breakingKavanaugh should always trend, as well as whoownskavanaugh",positive
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
Evident still now.,neutral
about to start spiking gop drinks,negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to u…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
مارخور,neutral
Arginine depletion as a therapeutic approach for patients,positive
65% say…,positive
"Which is precisely why people need to be very careful with preprints. This actually shows the peer review system works, but that people need to be more aware of it.",positive
COVID-19 VACCINE IS SAFE,positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"To my anti vaxx people, this isn’t new schools always required vaccines FYI",negative
"To those who mistakenly believe that California is a monolithic, blue state it isn’t. We have rural, red counties that are…",negative
my governor.,positive
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
65% say…,positive
What is delaying you from taking the COVID-19 vaccine?,negative
"",""
"BREAKING Ontario is making COVID-19 vaccinations mandatory for all in-home LTC staff, support workers, students &amp; volunteers…",negative
It’s a public health issue and people like you(anti-vaccination) saying stuff like this. The vaccine is meant to help protect and fight off the virus and symptoms. But for some reason y’all just more ok with trusting Covid-19 over a vaccination meant to help the human population.,negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
As a ex Staff Nurse of over 21 years i find this clip hilarious and somewhat sickening. It's precisely why i left the…,negative
Nicki Minaj tweets about COVID-19 vaccines and her cousin’s friend’s swollen testicles | Ents &amp; Arts News,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"The Hill US reaches 700,000 COVID-19 deaths | TheHill.",negative
For the safety purpose everyone should be vaccinated…,positive
What a bloody mess. You know what would have prevented this? Not locking up refugees.,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Covid-19 vaccinations More than 50 nations have missed a target set by the WHO,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
65% say…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
with COVID-19,positive
"",""
To se…,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
What wasn’t in existence the last time your club won a trophy?,positive
↓,neutral
"",""
Scientific literacy matters.,negative
Global Covid-19 caseload tops 234.2 million,positive
COVID-19 VACCINE IS EFFECTIVE,positive
Maine 22 percent,positive
The vaccine is safe.,negative
The news is pretty grim 🧵,negative
↓,neutral
👈🏼💦,neutral
South Australia’s health authorities are on high alert after another COVID-19 case was detected on Saturday. 7NEWS,negative
Research suggests that the destruction of landscapes and ecosystems creates the conditions for new viruses and diseases…,negative
So pleased to have worked on this with  Clinical intervention with autistic adolescents and adults during…,positive
'I expect every state will eventually adopt a Covid vaccine mandate.'  weighs in after California announced it wi…,negative
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
Pennsylvania 19…,positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
COVID-19 delays celebrations marking 40 years since 'groundbreaking' APY Lands Act,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Argentina to start COVID-19 vaccination of children aged 3-11 until end of 2021 – Minister  isis…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
I’ll take Covid-19 vaccine for work of gospel – Adeboye,positive
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Addressing the Session on Sustainable Development Goals in the light of Humanity’s experience with COVID-19 at the Norman…,positive
If ivm was an expensive drug produced by a famous pharmaceutical company and if its effect on Covid-19 was…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Nano G7 Pro Commercial Video - Automobile Protection against Covid-19  via,positive
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
California to require COVID-19 vaccine for in-person classes at schools after FDA approval,negative
"The World Bank’s Board of Directors has approved a $400 million dollar credit to Nigeria in additional financing, from i…",positive
"The World Bank’s Board of Directors has approved a $400 million dollar credit to Nigeria in additional financing, from i…",positive
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
🖕🏻Newsom! 🤬,positive
via,neutral
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Three provinces in Central Luzon were among the areas with the highest number of new COVID-19 cases in the country. htt…,negative
"glamadelaide \"The Latest (SA records another positive COVID-19 case, with Adelaide Airport now an exposure site)  Adelaide\"",neutral
Italian wop ... shut up. Go sit in your winery your aunt made happen for you.... You couldn't fight your way out of a wet paper bag. You puss bag,positive
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
1) Would love to hear from independent reviewers,negative
👈🏼💦,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Airline Pilots Push Back Against COVID-19 Injection Mandate, Warn of Holiday Travel Chaos",negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
Me Covid-19 Vaccines wasn’t in existence the last time Arse…,negative
📢Dear all the fans who bought Kao Photo books,positive
Case has been…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
COVID-19 VACCINE DOES NOT CONTAIN ANY METALLIC SUBSTANCES,negative
coronavirus Covid19 Coronapandemic Globalcovid19,negative
"Gov. Gavin Newsom announced the nation's first COVID-19 vaccination mandate for schoolchildren, requiring that elementary through high school students get the shots once the vaccine gains final approval from the FDA for different age groups.",negative
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
The vaccine works by stimulating your immune s…,negative
"All COVID-19 vaccines in Nigeria are effective against all variants of the virus. We have Moderna, AstraZeneca and Johnson &amp;…",positive
"US COVID-19 death toll eclipses 700,000",negative
Key takeaways from a report just released today from  about COVID-19 Vaccine Status of Adults with Disability Fewe…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"COVID-19 Outbreaks at Youth Summer Camps — Louisiana, June–July 2021 | MMWR",positive
