We need lea…,negative
“U.S. government has agreed to pay about $1.2 billion for 1.7 million courses of its experimental…,negative
Auckland truck driver who travelled to Palmerston North tests positive for COVID-19,negative
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
Baudelaire once said that the greatest trick the devil ever pulled was to convince the world he didn’t exist,positive
"AI-powered Dept. of Defense program named “Project Salus,” ru…",negative
"Why would some Albertans take J&amp;J, but not another COVID-19 vaccine?",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
You do realise  Most of us are completely aware the the COVID-19 Scamdemic was a absolute fraud !,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"And because he praised it, the horse paste idiots are going to refuse it. They haven’t got the good sense god gave a goldfish.",positive
"Victoria records 1,488 new cases of COVID-19 as regional communities are thrust into lockdown  via",negative
Dear Mr Paul Polman sir. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
Brief thread on how Molnupiravir works. This is the promising COVID-19 antiviral that appears to prevent 50% of hospitali…,positive
Cuba has provided one dose of the COVID-19 vaccine to 95 percent of the population.,negative
This will go into effect following full…,positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
"US hits 700,000 deaths due to Covid-19 just as cases begin to decline",negative
"Alberta ER doctor says hospital capacity crisis was ‘created,’ has nothing to do with COVID-19 - LifeSite",negative
Merck Covid-19 pill Antiviral treatment molnupiravir claims to cut hospitalisations by half,negative
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not wine tasting experts.",neutral
↓,neutral
👈🏼💦,neutral
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Penn &amp; Teller would be proud.,positive
P.S. There is no FDA approved vaccines for COVID-19 that is currently available to any member of the Public  All the ones available are under EUA and can not be Mandated,negative
sunriseon7   New South Wales has recorded more than 800 COVID-19 cases and 10 deaths. There have been 362 COVID-19 related deaths in NSW since the start of the outbreak in June. 7NEWS,negative
"Victoria records 1,488 new cases of COVID-19 as regional communities are thrust into lockdown  v…",negative
A study on the impact of COVID-19 lockdown on physical activity &amp; weight gain among active adult population in Israel…,negative
"How will COVID-19 change psychological research? 50-some psychologists (mostly social) weigh in with their hopes, fear…",positive
7 Day Covid Growth in Deaths per 1K Population by County For ND   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
KFF COVID-19 Vaccine Monitor Vaccination Trends Among Children And COVID-19 In Schools - Findings,negative
"Kia Ora and Linton set for grand final rematch, four years later |  The two sides will face off in Sunday's club final at the Arena, the first game of rugby league since the Covid-19 lockdown. The last round of the regular ...",positive
"The US death toll from COVID-19 has passed 700,000 just as the country's surge from the Delta variant is beginning to slow dow…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Auckland-based Truck Driver Tests Positive For COVID-19,positive
Auckland-based Truck Driver Tests Positive For COVID-19,positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
↓,neutral
In practice…,negative
The “Dolphin” Prone Position in Awake COVID-19 Patients  Dimensions of Critical Care Nursing  …,negative
And no other country's ideological right favored less public health measures as much as the US's RW.,negative
More than one million Israelis will lose their Green Pass after a policy change states that a COVID-19 booster shot is requir…,negative
Egypt to take measures against state employees who refuse covid-19 vaccine,negative
Obrafour opens up about his life-and-death battle with Covid-19  ghana news ghananews,negative
It is SAFE for breastfeeding mothers to breastfeed after receiving the Covid-19 vaccine.,negative
China has more than 80 percent of its…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
It appears that the Covid-19 injection isn't effective.,negative
"You do not need to be an expert to hold a view about things that affect us. The issue of Covid-19 vaccines is about human rights,",positive
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
…with Malaysia recording one of the highest corporate tax rates amongst the 60 biggest economies of the world.,positive
Vaccineswork,neutral
Canadian health officials said on Friday data suggests reported cases of rare heart inflammation were relatively higher…,negative
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan peace process as well as collaboration in the fight against Covid-19 were discussed in the meeting.",negative
Why hasn't ivermectin been submit…,negative
"As of 10/2/2021, 33848 PM",positive
"",""
Should we be able to use Ivermectin (which worked for me)…,negative
My Nyeri peoples  has availed covid-19 vaccines in all these centres. PataChanjoKe,negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"\"This case report describes a 17 year old male who developed focal myocarditis mimicking an ST-Segment Elevation Myocar…",positive
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan pe…",negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Baudelaire once said that the greatest trick the devil ever pulled was to convince the world he didn’t exist,positive
The governm…,neutral
"California will add the COVID-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin News…",negative
🚨🚨🚨 CA COVID VAX MANDATE FOR KIDS,negative
*MR UBE NEWS is FREE,positive
DontSpoilAfgPeaceAgain,neutral
1) Senator Bong Go filed his certificate of candidacy for Vice presidential,positive
"",""
South Australia’s health authorities are on high alert after another COVID-19 case was detected on Saturday. 7NEWS htt…,negative
"Looking forward to marching onto Spring Street next to a Judge on Freedom Day (Oct 15), now that Stairman Dan has mandated that Judges, Magistrates and VCAT members will be sacked if they don’t get their first jab by October 15 FreedomDay HumanRightsViolations FreeVictoria 🇦🇺",negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
In practice…,negative
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Possible jail time if you fake a Covid-19 A result,positive
"Of all the moments to announce this, just as the NHS heads into a second very difficult Winter, with staff shattered and Covid-19 far from over.",negative
"This isn’t just Brexit This is the Tory Party at it’s most nakedly greedy and avaricious. There are no constraints to their greed any longer and Brexit and COVID-19 are just details as a backdrop which has enabled them to do this. That, and the willing collusion of all Media.",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
This is the chart 6-17 year olds for ALL VACCINES for all reactions over 30 years... an…,negative
"Crypto News \"Pill to treat Covid-19 cuts risk of hospitalization and death by half, drugmaker says\"",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
Chinese COVID-19 vaccine wins more hope for my country,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
We recruited 11 participants that were diagnosed with COVID-19 and studied each for 3 days in a controlled chamber wit…,positive
For 3000 deaths in 9/11 they attacked Iraq.,negative
Waning Effect of COVID-19 Vaccines in 5.6M U.S. Study Cohort,negative
2) DOH PH has enough COVID-19 jabs for child vaccinations.    *,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"No I think he's being particularly cunning... if he can get Covid-19 going rampantly through his \"followers\" he can sell \"healing prayers\" &amp; I bet he has all the old ones already signed up with bequests... prematurely killing them off... he'd be rubbing his hands with glee",positive
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
Could be COVID-19 not BREXIT...🤔,positive
"A pill has cut the risk of hospitalization or death from COVID-19 by half in a study, Merck and Ridgeback Biotherapeuti…",negative
I've seen quite a few impressive interviews from basketball players recently. Are they an unusually bright group of sp…,negative
"\"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead Stories report\"",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
