👈🏼💦,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
"I had been worth to wait during the time when covid-19 was on its peak but now it's worthless, absurd",negative
"",""
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The role of motivated science reception and numeracy in the context of the COVID-19 pandemic,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19 days before new term to begin,positive
2) Not all vaccines are the…,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
Senseless.,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
←資料,neutral
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
“Breastfeeding women who…,negative
...from  Covid-19 outbreaks Two wards close at Ulster Hospital,negative
"No, you cannot inhale or ingest hydrogen peroxide to treat COVID-19",positive
Can someone please make it make sense.,negative
Let's learn more about this and educate others as well.,positive
"look at this , maybe be you should take Trudeau out of your A$$ and do something positive",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Despite being vaccinated, Giacopini caught COVID-19 earlier this month at age 105. Had she not caught the coronavirus, “I think my…",negative
"U.S. hits 700,000 COVID-19 deaths just as cases begin to fall",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"To celebrate the significant milestone of administering 100 crore COVID-19 vaccine doses, we are inviting citizens to desig…",positive
BREAKING SaudiArabia to require two doses of COVID-19 vaccine for boarding planes and public transport as of October 10 -…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
reopendu dureo…,positive
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"I wasn't able to participate in this, but I fully support parents who are protesting the lack of basic mitigations in scho…",negative
Can someone please make it make sense.,negative
"",""
I’ve always loved Draymomd Green 🥲💛,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
and that's me never sleeping again...,negative
My very ill sister who was already on oxygen from accidental carbon monoxi…,positive
East Godavari 21 students in Navodaya test COVID-19 positive JawaharNavodayaschool Covid-19positive EastGodavari,negative
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
"Excellent creative thinking by using canine to detect COVID-19 and it’s variance. Same should be done for the airports, Schools, large crowd, universities, Rail road, workplaces, factories, industries, wherever  Isagholian, virology, immunology",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
(D…,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
NoLicenseForDisinformation,neutral
🔹 Report 👇,positive
Is Covid-19 more lethal in a funeral??,negative
Is Covid-19 more lethal in a funeral??,negative
1. The COVID-19 survival rate for t…,negative
Report 13-year-old dies in sleep after getting COVID-19 vaccine; CDC investigating | WFLA,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Morocco was one of dozens of countries that participated in the White House’s recent Global COVID-19 Summit; watch this v…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Somerville, MA 😫🙏🏻",positive
"18 months into pandemic, a rural California county records its first COVID-19 death - Los Angeles Times",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Covid-19 Report For 1st October,positive
The news is pretty grim 🧵,negative
Why max 100 people in a Funeral but max 75…,negative
"Minister of Health Dr. Alkuwari   discusses Qatar’s efforts to manage COVID-19 peak, why Qatar, alongside Si…",positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Governor don’t jump too fast Moderna still has NOT been fully FDA approved and some data shows heart inflammation in adolescent boys   hold ur horses, like when you lifted some business restrictions too soon",negative
"\"WHO validates Sinovac COVID-19 vaccine for emergency use and issues interim policy recommendations\"",positive
"'The global warming scam is, like the covid-19 scam, built on sand. Both these false flag operations are built on false s…",negative
"Heart Disease, Covid-19 and T2D have a lot in common.",positive
So much for the passports,negative
Bad news for the Left,negative
↓,neutral
Why max 100 people in a Funeral but max 75…,negative
Prescribed blood thinners can help reduce hospitalizations related to COVID-19,positive
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
How much damage has been…,negative
"Laboratory studies show that Merck &amp; Co's experimental oral COVID-19 antiviral drug, molnupiravir, is likely to be effec…",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
“The consequences of government-enforced lockdowns killed more Canadians under the age of 65 than the COVID-19 virus itse…,negative
This isn’t about kids. This is about teacher’s unions.,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Absolute disgrace,negative
"This must be true because the anc really care about taxpayers, the source of all their income....",negative
Just remember what you said &amp; what you did when the trials begin for crimes against humanity. You are being monitored 24/7 &amp; the end is near.,positive
"Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Worki…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
The State Sponsored Narrative,negative
🆘 PLEASE,positive
DemVoice1 ONEV1 Z21…,positive
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
Evidence Assessment,positive
Vaccine passports for Hospitality has been in pla…,negative
FartCheckers and the CDC refuse to learn from actual case studies from Israel and instead parrot what their Pharmaceutical masters tell them to say. Anybody still able to reason knows the Vaccines are unsafe and not efficacious at stopping infections. FollowTheMoney,negative
“The biggest lesson from the Covid-19 fight is that India has an unparalleled ability to unite and a tremendous capaci…,positive
You want to see crazy. Force this on our kids.,positive
Updated figures show that the 15 states with the biggest jumps in their COVID-19 hospitalization rates over the past two weeks are…,negative
At least 44.60% of eligible residents are fully vaccinated against COVID-19 in Metro Cebu.,negative
New Positive Cases 478,negative
Sinovac/CoronaVac COVID-19 vaccine,negative
"",""
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"COVID-19 is still a big health issue, a global pandemic and it still kills. SOE might be over but it doesn’t mean we let…",negative
Well duhhh (again),negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"A lot of these same people had to be vaccinated before attending kindergarten. I don't believe that they'd want their kids to be at a higher risk of contracting the measles, mumps, polio, diphtheria, etc. Most of these were practically eradicated by vaccines. Why not covid?",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The Ministry of Truth has spoken ... obey!,positive
We know more about natural immunity than these vaccines.,positive
"Flu Shot Highly Recommended This Year  μέσω  With the Delta variant of COVID-19 still raging and intensive care units in parts filled with patients with the coronavirus, experts are voicing concern about the added risk of a difficult flu season.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Now they're just saying anything at this point. 🤦🏿‍♂️,negative
Just a few notes,positive
Of which 0-18 years 57,positive
🔹 Listen to,positive
2021/04 WHO,negative
Super simple poll.,positive
Mandaue City leads with the…,positive
Children are their own best defense against Covid-19,positive
In quarantine 281,negative
"",""
How much damage has been…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
For anyone who is pregnant or planning a pregnancy and may be hesitating to get vaccinated.,negative
65% say…,positive
These Covid-19 restrictions are untenable for most African countries—most of which are very poor. Can’t tell a poor fisherman who lives in a mud hut with no running water to “shelter in place.” Nonsense.,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
How COVID-19 can damage all five senses  via,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Molnupiravir, a drug developed by Merck, could be the first oral antiviral medicine for covid-19 - The Washington Post…",negative
Premier Mark McGowan has told Labor party members at the state conference that WA has become a global success story for its…,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"We're giving back to the community and the world by getting vaxxed. In time, we will finally have herd immunity and COVID-19 will be eliminated. Eventually, things can get back to how they used to be.",positive
"1) COVID is not like measles, both in terms of risks and those most impacted.",negative
Local contacts 197,positive
🔹 Read the article below,positive
